,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,82919.69430804298,89383.54387795742,87536.1494816774,84541.3876495095,85907.44411816486,85607.2253719626,84908.10043365143,83962.52771137388
num_tested,0.0,0.0,0.0,0.0,0.0,928.2,1764.2,3521.2
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,22.0,186.0
test_pos,0.0,0.0,0.0,0.0,0.0,78.4,104.8,186.0
school_days_lost,0.0,0.0,0.0,0.0,46698.4,46298.0,47960.8,58597.4
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[72.4],[142.4],[129.4],[81.6],[101.4],[91.0],[85.0],[81.6]
student_cases,[10.0],[33.6],[24.8],[13.4],[16.2],[12.0],[12.2],[10.8]
teacher_cases,[1.2],[3.4],[1.8],[0.8],[1.0],[0.6],[1.4],[0.8]
cases_in_pk,[0.0],[3.4],[2.0],[0.4],[1.4],[1.0],[0.6],[0.8]
cases_in_es,[2.8],[6.6],[5.0],[4.2],[3.2],[2.0],[2.2],[2.8]
cases_in_ms,[1.0],[2.8],[2.0],[2.4],[3.4],[2.2],[1.8],[0.8]
cases_in_hs,[2.8],[5.2],[5.4],[3.0],[5.2],[5.0],[3.2],[3.4]
cases_in_uv,[4.6],[19.0],[12.2],[4.2],[4.0],[2.4],[5.8],[3.8]
pk_with_a_case,[0.0],[2.0],[1.2],[0.4],[1.4],[1.0],[0.6],[0.8]
es_with_a_case,[2.6],[4.6],[3.4],[3.4],[2.8],[1.8],[1.8],[2.4]
ms_with_a_case,[1.0],[2.0],[1.6],[1.6],[3.0],[2.0],[1.6],[0.8]
hs_with_a_case,[2.6],[3.0],[3.6],[2.6],[4.2],[3.4],[2.2],[2.8]
uv_with_a_case,[4.4],[10.0],[8.4],[4.2],[4.0],[2.4],[5.4],[3.8]
