,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,93333.49663557256,98774.00054919244,96302.71076110724,97267.56774258995,92757.74830960935,93709.26800729214,93988.2870311905,93240.51693517293
num_tested,0.0,0.0,0.0,0.0,0.0,892.0,1751.4,3442.8
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,22.6,104.6
test_pos,0.0,0.0,0.0,0.0,0.0,44.8,80.0,104.6
school_days_lost,0.0,0.0,0.0,0.0,45547.6,45456.2,48105.2,52719.0
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[46.4],[114.8],[75.2],[97.2],[37.6],[44.6],[55.2],[41.4]
student_cases,[6.0],[26.8],[14.2],[15.4],[5.2],[6.6],[11.6],[5.2]
teacher_cases,[0.0],[2.4],[1.0],[1.2],[0.6],[0.4],[0.8],[0.0]
cases_in_pk,[1.0],[1.0],[1.0],[0.6],[1.2],[0.8],[0.6],[0.6]
cases_in_es,[1.2],[5.4],[4.2],[4.0],[1.6],[1.0],[3.2],[1.8]
cases_in_ms,[0.6],[1.6],[0.8],[2.8],[0.2],[0.4],[1.2],[1.0]
cases_in_hs,[1.8],[7.6],[2.6],[4.6],[0.8],[2.4],[4.2],[0.6]
cases_in_uv,[1.4],[13.6],[6.6],[4.6],[2.0],[2.4],[3.2],[1.2]
pk_with_a_case,[1.0],[0.4],[0.4],[0.6],[1.0],[0.6],[0.6],[0.4]
es_with_a_case,[1.2],[4.0],[2.8],[2.8],[1.6],[0.8],[2.6],[1.6]
ms_with_a_case,[0.6],[0.8],[0.6],[2.0],[0.2],[0.4],[1.0],[1.0]
hs_with_a_case,[1.6],[4.2],[2.2],[4.0],[0.8],[1.6],[3.2],[0.6]
uv_with_a_case,[1.4],[8.8],[5.2],[4.2],[2.0],[2.4],[3.2],[1.0]
