,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,80674.95447517847,86894.71475803529,81983.62279280041,80780.74680264606,80461.29107835815,81618.94103310937,80430.11584359295,78924.536716008
num_tested,0.0,0.0,0.0,0.0,0.0,903.2,1749.8,3484.2
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,24.6,147.2
test_pos,0.0,0.0,0.0,0.0,0.0,68.8,93.4,147.2
school_days_lost,0.0,0.0,0.0,0.0,46309.2,45935.0,47323.4,55503.6
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[60.8],[156.4],[88.0],[67.4],[65.2],[75.0],[65.8],[39.6]
student_cases,[8.6],[40.6],[18.4],[12.4],[11.2],[9.2],[11.6],[4.6]
teacher_cases,[0.6],[3.2],[1.6],[0.4],[0.4],[1.2],[0.4],[0.6]
cases_in_pk,[0.6],[2.8],[0.4],[1.2],[0.6],[0.6],[1.0],[0.0]
cases_in_es,[1.8],[7.8],[3.0],[2.6],[2.6],[2.0],[2.6],[1.0]
cases_in_ms,[1.8],[2.8],[2.2],[1.2],[2.2],[1.2],[2.2],[0.2]
cases_in_hs,[2.2],[10.6],[6.0],[5.6],[3.2],[2.6],[3.8],[1.8]
cases_in_uv,[2.8],[19.8],[8.4],[2.2],[3.0],[4.0],[2.4],[2.2]
pk_with_a_case,[0.4],[2.2],[0.4],[1.0],[0.6],[0.6],[1.0],[0.0]
es_with_a_case,[1.8],[4.8],[3.0],[1.6],[2.6],[2.0],[2.2],[1.0]
ms_with_a_case,[1.8],[2.2],[1.4],[1.2],[1.8],[1.2],[1.4],[0.2]
hs_with_a_case,[1.6],[6.6],[4.0],[3.4],[2.6],[1.8],[2.6],[1.4]
uv_with_a_case,[2.8],[12.6],[6.4],[2.2],[3.0],[4.0],[2.2],[2.2]
