,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,258693.75223098756,311512.53362107335,293023.40517155366,266261.1346903701,269380.6838883975,258172.8942626514,257891.79586659657,252611.63201712823
num_tested,0.0,0.0,0.0,0.0,0.0,1868.8,3321.6,6546.8
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,416.2,3237.2
test_pos,0.0,0.0,0.0,0.0,0.0,1026.6,1665.2,3237.2
school_days_lost,0.0,0.0,0.0,0.0,78078.0,71953.8,102636.8,245173.8
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[1480.6],[2108.6],[1871.6],[1499.2],[1659.0],[1443.6],[1430.0],[1342.8]
student_cases,[177.6],[394.2],[299.2],[215.8],[228.8],[190.8],[169.6],[173.8]
teacher_cases,[8.8],[32.4],[22.6],[17.0],[15.8],[11.2],[13.0],[12.2]
cases_in_pk,[12.6],[28.2],[18.8],[16.8],[17.2],[15.4],[17.0],[14.2]
cases_in_es,[34.8],[69.4],[61.0],[49.8],[47.8],[44.8],[41.0],[42.8]
cases_in_ms,[22.2],[42.4],[34.8],[31.8],[26.6],[27.4],[21.4],[21.4]
cases_in_hs,[50.2],[100.0],[72.8],[65.4],[71.4],[45.6],[47.2],[49.2]
cases_in_uv,[66.6],[186.6],[134.4],[69.0],[81.6],[68.8],[56.0],[58.4]
pk_with_a_case,[6.8],[9.6],[6.6],[7.2],[7.0],[7.4],[8.0],[6.8]
es_with_a_case,[17.0],[23.0],[20.8],[19.2],[18.4],[17.8],[17.6],[17.0]
ms_with_a_case,[9.6],[12.4],[12.2],[11.2],[9.0],[11.2],[9.6],[9.8]
hs_with_a_case,[15.4],[17.4],[16.2],[16.0],[16.4],[14.2],[14.0],[15.4]
uv_with_a_case,[51.6],[81.4],[72.4],[53.4],[57.0],[51.0],[43.0],[45.6]
