,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,116123.6630821706,137482.40954141007,131762.59205640847,118529.76764748587,119063.43354030719,117853.94966905746,115502.37619380126,113296.20440969458
num_tested,0.0,0.0,0.0,0.0,0.0,1013.2,1907.4,3772.6
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,62.4,440.6
test_pos,0.0,0.0,0.0,0.0,0.0,162.8,247.6,440.6
school_days_lost,0.0,0.0,0.0,0.0,49520.8,48108.8,53111.0,75592.2
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[191.0],[447.0],[367.2],[226.6],[231.6],[214.0],[198.4],[165.4]
student_cases,[26.6],[106.0],[77.0],[37.0],[32.4],[27.0],[24.8],[24.0]
teacher_cases,[2.8],[10.0],[6.8],[2.4],[2.4],[2.0],[3.0],[1.6]
cases_in_pk,[2.0],[6.4],[5.4],[2.8],[2.4],[3.0],[2.2],[1.6]
cases_in_es,[4.6],[15.2],[11.6],[8.4],[5.4],[6.2],[4.8],[7.2]
cases_in_ms,[6.0],[12.0],[9.0],[5.8],[5.8],[3.6],[4.0],[3.2]
cases_in_hs,[6.0],[21.6],[20.8],[12.0],[10.6],[6.8],[7.6],[5.4]
cases_in_uv,[10.8],[60.8],[37.0],[10.4],[10.6],[9.4],[9.2],[8.2]
pk_with_a_case,[1.4],[4.2],[3.2],[2.6],[2.0],[2.0],[2.0],[1.2]
es_with_a_case,[3.8],[8.8],[7.6],[6.0],[3.8],[5.2],[4.0],[4.8]
ms_with_a_case,[4.2],[6.2],[5.8],[3.6],[3.8],[2.8],[2.6],[2.4]
hs_with_a_case,[4.8],[10.0],[10.4],[6.4],[6.8],[4.8],[5.6],[4.2]
uv_with_a_case,[9.8],[27.8],[24.4],[9.4],[10.2],[9.0],[8.4],[7.6]
