,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,213284.093601616,271711.1870587093,253442.62962502157,233992.862644298,233707.09689831483,220217.2607477832,216244.91657752582,209272.7712491631
num_tested,0.0,0.0,0.0,0.0,0.0,1557.6,2931.4,5560.6
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,314.2,2243.4
test_pos,0.0,0.0,0.0,0.0,0.0,736.2,1257.4,2243.4
school_days_lost,0.0,0.0,0.0,0.0,73323.6,64394.0,88815.6,190555.2
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[1049.2],[1797.0],[1543.6],[1307.4],[1342.4],[1143.4],[1082.8],[1067.0]
student_cases,[121.0],[365.2],[260.8],[191.2],[188.0],[159.8],[141.8],[139.0]
teacher_cases,[8.8],[23.2],[20.0],[17.0],[12.6],[10.0],[9.6],[8.6]
cases_in_pk,[13.6],[23.8],[19.2],[18.2],[13.4],[11.8],[10.4],[12.2]
cases_in_es,[23.6],[59.2],[54.4],[43.8],[41.6],[30.0],[29.0],[29.0]
cases_in_ms,[15.2],[34.6],[29.0],[27.4],[28.6],[22.4],[17.0],[18.8]
cases_in_hs,[29.2],[88.0],[63.4],[58.0],[53.0],[48.0],[44.6],[36.4]
cases_in_uv,[48.2],[182.8],[114.8],[60.8],[64.0],[57.6],[50.4],[51.2]
pk_with_a_case,[6.4],[8.8],[8.6],[7.8],[7.4],[5.6],[5.8],[5.6]
es_with_a_case,[14.8],[20.6],[19.6],[18.6],[18.4],[15.4],[16.0],[14.6]
ms_with_a_case,[8.0],[11.4],[10.0],[11.4],[9.6],[9.8],[9.0],[8.8]
hs_with_a_case,[12.6],[17.0],[16.2],[15.8],[15.2],[14.8],[14.6],[14.2]
uv_with_a_case,[38.4],[77.6],[62.4],[47.4],[46.2],[46.6],[41.6],[41.8]
