,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,169203.97692410098,204265.20930693013,191795.06648620236,175251.3295589437,173146.89993832834,167598.63304690347,164763.17921531116,158861.46096177475
num_tested,0.0,0.0,0.0,0.0,0.0,1239.2,2333.8,4462.4
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,167.2,1135.0
test_pos,0.0,0.0,0.0,0.0,0.0,407.4,660.8,1135.0
school_days_lost,0.0,0.0,0.0,0.0,57108.8,54450.6,67496.4,122920.4
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[686.6],[1074.8],[943.8],[727.4],[714.2],[640.0],[633.8],[535.2]
student_cases,[80.0],[224.2],[157.8],[107.0],[95.4],[86.6],[84.6],[72.0]
teacher_cases,[5.8],[13.6],[12.2],[9.2],[5.8],[7.8],[5.0],[5.8]
cases_in_pk,[6.2],[14.4],[11.6],[7.4],[8.2],[6.4],[5.6],[3.8]
cases_in_es,[18.8],[33.6],[28.0],[24.6],[20.4],[21.6],[19.4],[15.8]
cases_in_ms,[8.6],[20.6],[17.2],[16.0],[13.6],[14.0],[10.8],[8.8]
cases_in_hs,[24.2],[56.2],[37.0],[40.8],[28.0],[26.0],[25.2],[22.6]
cases_in_uv,[28.0],[113.0],[76.2],[27.4],[31.0],[26.4],[28.6],[26.8]
pk_with_a_case,[3.8],[6.4],[5.6],[4.0],[3.8],[3.8],[3.6],[2.2]
es_with_a_case,[11.4],[15.2],[14.0],[13.4],[13.2],[13.4],[12.2],[10.6]
ms_with_a_case,[6.2],[9.0],[7.8],[9.4],[8.4],[7.6],[6.6],[5.8]
hs_with_a_case,[11.6],[15.8],[14.0],[12.4],[12.2],[10.6],[11.8],[11.0]
uv_with_a_case,[23.2],[53.4],[45.2],[24.4],[27.0],[23.6],[25.4],[24.0]
