,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,206054.61735381634,268281.15330091363,238474.82637886735,213924.46076017362,212103.63924792915,209415.10816348513,205585.55051304583,201732.3043954559
num_tested,0.0,0.0,0.0,0.0,0.0,1555.0,2866.8,5439.2
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,312.2,2119.2
test_pos,0.0,0.0,0.0,0.0,0.0,718.8,1201.2,2119.2
school_days_lost,0.0,0.0,0.0,0.0,66318.0,62720.6,85304.2,179737.8
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[927.2],[1676.2],[1302.4],[1083.8],[1038.6],[991.4],[936.8],[950.4]
student_cases,[115.4],[348.2],[232.8],[158.4],[136.4],[132.8],[124.4],[129.6]
teacher_cases,[6.2],[24.8],[16.0],[12.2],[10.0],[9.2],[8.8],[8.0]
cases_in_pk,[11.2],[23.4],[15.2],[12.6],[10.0],[8.6],[9.0],[8.6]
cases_in_es,[23.8],[56.2],[45.6],[35.2],[27.6],[30.0],[27.0],[28.4]
cases_in_ms,[14.0],[37.8],[22.6],[24.2],[18.4],[16.2],[17.6],[17.4]
cases_in_hs,[28.4],[84.6],[57.8],[51.2],[43.2],[40.2],[38.4],[36.0]
cases_in_uv,[44.2],[171.0],[107.6],[47.4],[47.2],[47.0],[41.2],[47.2]
pk_with_a_case,[6.2],[8.0],[6.4],[5.8],[6.0],[4.8],[5.2],[5.2]
es_with_a_case,[13.6],[18.8],[18.0],[15.2],[14.2],[15.0],[14.4],[14.6]
ms_with_a_case,[8.0],[11.2],[10.4],[9.6],[8.6],[8.4],[9.6],[8.8]
hs_with_a_case,[13.8],[17.0],[14.8],[15.2],[15.0],[14.2],[12.6],[15.0]
uv_with_a_case,[35.2],[71.8],[58.6],[37.0],[38.4],[38.4],[34.2],[39.0]
