,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,124629.89085443185,144099.32536299055,138136.54974610315,131256.67474934505,124500.2100656101,125124.63985522673,123349.24338861942,123244.50309373834
num_tested,0.0,0.0,0.0,0.0,0.0,1010.2,1972.4,3894.8
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,75.0,560.0
test_pos,0.0,0.0,0.0,0.0,0.0,179.6,303.4,560.0
school_days_lost,0.0,0.0,0.0,0.0,49338.8,48984.6,54290.6,84933.0
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[266.2],[490.2],[409.4],[350.2],[257.2],[286.2],[256.2],[248.8]
student_cases,[28.6],[101.0],[71.4],[48.6],[30.0],[35.8],[36.2],[30.2]
teacher_cases,[2.0],[8.6],[7.4],[4.4],[1.2],[2.4],[2.4],[1.8]
cases_in_pk,[3.2],[4.2],[7.0],[4.6],[2.4],[2.2],[1.8],[2.4]
cases_in_es,[3.2],[15.8],[12.4],[11.8],[7.6],[8.6],[7.8],[7.4]
cases_in_ms,[4.0],[8.4],[8.6],[5.6],[2.0],[5.0],[4.2],[3.6]
cases_in_hs,[9.4],[27.0],[18.0],[15.8],[7.8],[10.0],[12.8],[7.2]
cases_in_uv,[10.8],[54.2],[32.8],[15.2],[11.4],[12.4],[12.0],[11.4]
pk_with_a_case,[2.8],[2.8],[4.6],[3.0],[2.2],[2.2],[1.8],[2.4]
es_with_a_case,[2.8],[11.0],[7.4],[7.8],[6.2],[6.2],[5.4],[5.4]
ms_with_a_case,[3.4],[5.0],[5.0],[3.6],[1.4],[4.2],[2.6],[3.2]
hs_with_a_case,[7.2],[10.8],[9.2],[9.0],[5.6],[6.6],[6.6],[5.0]
uv_with_a_case,[10.4],[30.2],[23.0],[14.2],[10.2],[11.0],[11.2],[10.6]
