,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,326056.1792185066,399469.54809574503,373008.58349569375,345417.4579353506,338379.33772149123,326815.5781492099,322609.728416534,311659.5781492099
num_tested,0.0,0.0,0.0,0.0,0.0,2476.4,4399.6,8208.6
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,681.2,4908.0
test_pos,0.0,0.0,0.0,0.0,0.0,1650.4,2733.0,4908.0
school_days_lost,0.0,0.0,0.0,0.0,98669.2,88694.2,134207.4,327074.2
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[2094.2],[3092.0],[2678.8],[2331.0],[2260.8],[2076.4],[1992.8],[1881.0]
student_cases,[254.8],[619.0],[471.8],[340.4],[304.6],[288.4],[257.0],[250.0]
teacher_cases,[15.2],[50.0],[34.8],[23.8],[23.2],[17.8],[19.6],[15.8]
cases_in_pk,[21.0],[49.4],[34.6],[27.6],[20.8],[20.8],[20.0],[16.8]
cases_in_es,[50.6],[112.6],[89.2],[73.2],[69.6],[59.0],[59.0],[49.2]
cases_in_ms,[35.4],[70.6],[54.2],[45.4],[38.8],[39.0],[37.6],[33.4]
cases_in_hs,[63.8],[151.4],[118.6],[105.4],[103.6],[85.2],[74.8],[76.6]
cases_in_uv,[99.2],[285.0],[210.0],[112.6],[95.0],[102.2],[85.2],[89.8]
pk_with_a_case,[7.4],[11.2],[10.0],[9.0],[8.4],[8.2],[7.6],[7.8]
es_with_a_case,[19.0],[24.8],[22.6],[23.0],[22.0],[20.4],[20.4],[19.8]
ms_with_a_case,[11.2],[14.2],[12.8],[12.4],[12.6],[13.0],[11.6],[11.2]
hs_with_a_case,[17.8],[18.4],[19.4],[17.0],[18.2],[17.8],[17.0],[17.2]
uv_with_a_case,[64.4],[101.4],[87.8],[72.0],[67.8],[65.2],[60.2],[59.8]
