day,date,negative,new_diagnoses,new_deaths,new_tests,yield
33,2020-02-29,9.0,16.0,1.0,25.0,0.64
34,2020-03-01,32.0,12.0,3.0,44.0,0.2727272727272727
35,2020-03-02,81.0,19.0,2.0,100.0,0.19
36,2020-03-03,105.0,15.0,3.0,120.0,0.125
37,2020-03-04,121.0,25.0,4.0,146.0,0.17123287671232876
38,2020-03-05,167.0,38.0,5.0,205.0,0.18536585365853658
39,2020-03-06,186.0,25.0,7.0,211.0,0.11848341232227488
40,2020-03-07,147.0,21.0,0.0,168.0,0.125
41,2020-03-08,170.0,43.0,5.0,213.0,0.20187793427230047
42,2020-03-09,377.0,36.0,3.0,413.0,0.08716707021791767
43,2020-03-10,662.0,71.0,2.0,733.0,0.09686221009549795
44,2020-03-11,738.0,62.0,2.0,800.0,0.0775
45,2020-03-12,1102.0,99.0,4.0,1201.0,0.08243130724396336
46,2020-03-13,1245.0,122.0,3.0,1367.0,0.08924652523774688
47,2020-03-14,698.0,76.0,4.0,774.0,0.09819121447028424
48,2020-03-15,399.0,46.0,3.0,445.0,0.10337078651685393
49,2020-03-16,1368.0,135.0,6.0,1503.0,0.08982035928143713
50,2020-03-17,1209.0,120.0,7.0,1329.0,0.09029345372460497
51,2020-03-18,1335.0,147.0,4.0,1482.0,0.09919028340080972
52,2020-03-19,1244.0,159.0,5.0,1403.0,0.11332858161083392
53,2020-03-20,1135.0,120.0,7.0,1255.0,0.09561752988047809
54,2020-03-21,538.0,78.0,4.0,616.0,0.1266233766233766
55,2020-03-22,354.0,74.0,15.0,428.0,0.17289719626168223
56,2020-03-23,1311.0,202.0,9.0,1513.0,0.1335095836087244
57,2020-03-24,1336.0,177.0,9.0,1513.0,0.11698612029081296
58,2020-03-25,1272.0,179.0,9.0,1451.0,0.1233631977946244
59,2020-03-26,1145.0,172.0,15.0,1317.0,0.13059984813971146
60,2020-03-27,1217.0,207.0,9.0,1424.0,0.14536516853932585
61,2020-03-28,669.0,95.0,14.0,764.0,0.1243455497382199
62,2020-03-29,453.0,124.0,8.0,577.0,0.21490467937608318
63,2020-03-30,1406.0,228.0,5.0,1634.0,0.13953488372093023
64,2020-03-31,1277.0,201.0,6.0,1478.0,0.13599458728010824
65,2020-04-01,1311.0,179.0,12.0,1490.0,0.12013422818791947
66,2020-04-02,1246.0,178.0,11.0,1424.0,0.125
67,2020-04-03,1268.0,197.0,13.0,1465.0,0.13447098976109215
68,2020-04-04,741.0,95.0,12.0,836.0,0.11363636363636363
69,2020-04-05,503.0,74.0,15.0,577.0,0.12824956672443674
70,2020-04-06,1199.0,162.0,14.0,1361.0,0.11903012490815577
71,2020-04-07,1388.0,188.0,15.0,1576.0,0.11928934010152284
72,2020-04-08,1263.0,143.0,10.0,1406.0,0.10170697012802275
73,2020-04-09,1137.0,157.0,7.0,1294.0,0.1213292117465224
74,2020-04-10,1105.0,132.0,13.0,1237.0,0.10670978172999192
75,2020-04-11,638.0,73.0,11.0,711.0,0.10267229254571027
76,2020-04-12,454.0,36.0,5.0,490.0,0.07346938775510205
77,2020-04-13,1166.0,142.0,8.0,1308.0,0.10856269113149847
78,2020-04-14,1102.0,125.0,5.0,1227.0,0.10187449062754686
79,2020-04-15,1145.0,137.0,5.0,1282.0,0.10686427457098284
80,2020-04-16,1227.0,128.0,13.0,1355.0,0.09446494464944649
81,2020-04-17,1252.0,145.0,8.0,1397.0,0.10379384395132427
82,2020-04-18,747.0,55.0,11.0,802.0,0.0685785536159601
83,2020-04-19,616.0,41.0,12.0,657.0,0.0624048706240487
84,2020-04-20,1299.0,122.0,6.0,1421.0,0.08585503166783955
85,2020-04-21,1202.0,103.0,13.0,1305.0,0.0789272030651341
86,2020-04-22,1326.0,110.0,5.0,1436.0,0.0766016713091922
87,2020-04-23,1332.0,100.0,5.0,1432.0,0.06983240223463687
88,2020-04-24,1462.0,90.0,9.0,1552.0,0.05798969072164949
89,2020-04-25,1217.0,67.0,10.0,1284.0,0.05218068535825545
90,2020-04-26,584.0,44.0,9.0,628.0,0.07006369426751592
91,2020-04-27,1614.0,120.0,6.0,1734.0,0.06920415224913495
92,2020-04-28,1820.0,95.0,5.0,1915.0,0.04960835509138381
93,2020-04-29,1975.0,116.0,5.0,2091.0,0.05547584887613582
94,2020-04-30,1729.0,79.0,4.0,1808.0,0.043694690265486724
95,2020-05-01,1783.0,130.0,7.0,1913.0,0.06795608991113435
96,2020-05-02,947.0,44.0,4.0,991.0,0.044399596367305755
97,2020-05-03,533.0,22.0,4.0,555.0,0.03963963963963964
98,2020-05-04,2298.0,109.0,7.0,2407.0,0.04528458662235148
99,2020-05-05,2199.0,75.0,5.0,2274.0,0.032981530343007916
100,2020-05-06,2001.0,90.0,5.0,2091.0,0.043041606886657105
101,2020-05-07,1763.0,74.0,5.0,1837.0,0.040283070223189985
102,2020-05-08,1838.0,69.0,7.0,1907.0,0.03618248557944415
103,2020-05-09,816.0,49.0,3.0,865.0,0.056647398843930635
104,2020-05-10,311.0,15.0,10.0,326.0,0.046012269938650305
105,2020-05-11,1839.0,80.0,2.0,1919.0,0.041688379364252216
106,2020-05-12,1978.0,72.0,3.0,2050.0,0.0351219512195122
107,2020-05-13,1844.0,79.0,1.0,1923.0,0.041081643265730626
108,2020-05-14,1665.0,64.0,3.0,1729.0,0.03701561596298438
109,2020-05-15,2002.0,76.0,1.0,2078.0,0.03657362848893166
110,2020-05-16,1048.0,26.0,4.0,1074.0,0.024208566108007448
111,2020-05-17,519.0,17.0,4.0,536.0,0.03171641791044776
112,2020-05-18,2321.0,77.0,0.0,2398.0,0.03211009174311927
113,2020-05-19,2169.0,40.0,4.0,2209.0,0.01810774105930285
114,2020-05-20,1965.0,57.0,4.0,2022.0,0.028189910979228485
115,2020-05-21,1612.0,36.0,4.0,1648.0,0.021844660194174758
116,2020-05-22,1610.0,45.0,2.0,1655.0,0.027190332326283987
117,2020-05-23,905.0,19.0,4.0,924.0,0.020562770562770564
118,2020-05-24,560.0,11.0,3.0,571.0,0.01926444833625219
119,2020-05-25,599.0,13.0,3.0,612.0,0.021241830065359478
120,2020-05-26,2183.0,56.0,1.0,2239.0,0.025011165698972757
121,2020-05-27,2133.0,43.0,6.0,2176.0,0.019761029411764705
122,2020-05-28,1711.0,47.0,1.0,1758.0,0.026734926052332197
123,2020-05-29,1745.0,80.0,3.0,1825.0,0.043835616438356165
124,2020-05-30,1178.0,29.0,1.0,1207.0,0.024026512013256007
