,no_school,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,159829.4433586176,228244.183359035,176735.4424836493,170645.34550631704,170328.93915219064,156945.19613573066,155979.27453507128
num_tested,0.0,0.0,0.0,0.0,1381.2,2353.6,4691.6
num_traced,0.0,0.0,0.0,0.0,0.0,172.6,1363.0
test_pos,0.0,0.0,0.0,0.0,554.0,683.6,1363.0
school_days_lost,0.0,0.0,0.0,60457.6,57353.0,69713.6,136531.8
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,"[309.2, 442.0, 599.6]","[309.2, 606.0, 1299.8]","[309.2, 484.4, 825.4]","[309.2, 486.6, 762.0]","[309.2, 504.4, 767.8]","[309.2, 444.4, 615.2]","[309.2, 433.4, 647.4]"
student_cases,"[41.2, 47.4, 70.4]","[41.2, 115.4, 291.6]","[41.2, 75.0, 124.4]","[41.2, 62.2, 102.2]","[41.2, 73.4, 98.2]","[41.2, 55.8, 73.4]","[41.2, 54.6, 82.6]"
teacher_cases,"[2.0, 3.8, 4.4]","[2.0, 8.2, 18.2]","[2.0, 7.0, 8.0]","[2.0, 3.6, 9.8]","[2.0, 4.2, 7.2]","[2.0, 2.0, 4.6]","[2.0, 3.8, 4.8]"
cases_in_pk,"[5.6, 4.0, 6.4]","[5.6, 6.4, 18.4]","[5.6, 3.6, 6.0]","[5.6, 4.6, 10.4]","[5.6, 6.0, 7.4]","[5.6, 3.2, 5.2]","[5.6, 2.6, 6.8]"
cases_in_es,"[11.0, 14.0, 17.4]","[11.0, 19.6, 45.6]","[11.0, 20.6, 30.6]","[11.0, 15.6, 22.2]","[11.0, 17.6, 23.4]","[11.0, 10.0, 15.4]","[11.0, 13.2, 21.0]"
cases_in_ms,"[6.0, 7.6, 8.4]","[6.0, 13.0, 29.2]","[6.0, 11.4, 20.4]","[6.0, 10.0, 14.6]","[6.0, 9.6, 16.0]","[6.0, 8.8, 10.8]","[6.0, 5.0, 10.6]"
cases_in_hs,"[6.4, 9.8, 19.2]","[6.4, 28.4, 64.6]","[6.4, 27.0, 43.8]","[6.4, 18.0, 31.2]","[6.4, 21.6, 29.6]","[6.4, 16.8, 20.4]","[6.4, 17.2, 23.0]"
cases_in_uv,"[14.2, 15.8, 23.4]","[14.2, 56.2, 152.0]","[14.2, 19.4, 31.6]","[14.2, 17.6, 33.6]","[14.2, 22.8, 29.0]","[14.2, 19.0, 26.2]","[14.2, 20.4, 26.0]"
pk_with_a_case,"[3.0, 2.4, 5.0]","[3.0, 4.2, 8.0]","[3.0, 2.6, 4.8]","[3.0, 3.6, 5.6]","[3.0, 3.6, 4.2]","[3.0, 2.8, 3.4]","[3.0, 2.2, 3.8]"
es_with_a_case,"[9.2, 9.4, 11.8]","[9.2, 10.8, 16.4]","[9.2, 9.4, 14.4]","[9.2, 9.2, 14.4]","[9.2, 11.8, 13.4]","[9.2, 7.0, 9.2]","[9.2, 7.4, 11.4]"
ms_with_a_case,"[4.6, 6.0, 5.4]","[4.6, 6.8, 10.2]","[4.6, 6.8, 7.4]","[4.6, 5.6, 6.4]","[4.6, 6.2, 8.4]","[4.6, 5.8, 4.8]","[4.6, 3.2, 6.6]"
hs_with_a_case,"[4.4, 7.6, 10.8]","[4.4, 11.2, 15.6]","[4.4, 9.8, 14.2]","[4.4, 10.2, 13.2]","[4.4, 10.0, 12.8]","[4.4, 9.4, 10.0]","[4.4, 9.6, 11.2]"
uv_with_a_case,"[12.8, 14.6, 21.6]","[12.8, 33.4, 60.2]","[12.8, 17.4, 26.6]","[12.8, 16.0, 28.8]","[12.8, 21.0, 25.4]","[12.8, 17.4, 22.6]","[12.8, 18.2, 22.4]"
