,no_school,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,85692.99179122418,87227.99603616184,86389.65132097664,85928.66015094907,85436.83953965364,85616.63601229936,85418.02810429533
num_tested,0.0,0.0,0.0,0.0,860.6,1680.2,3375.4
num_traced,0.0,0.0,0.0,0.0,0.0,7.8,35.6
test_pos,0.0,0.0,0.0,0.0,17.2,29.4,35.6
school_days_lost,0.0,0.0,0.0,45270.4,44887.0,45767.4,47955.2
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,"[42.2, 21.6, 13.8]","[42.2, 34.0, 26.6]","[42.2, 23.2, 21.0]","[42.2, 21.6, 16.6]","[42.2, 20.8, 7.4]","[42.2, 18.0, 11.8]","[42.2, 19.2, 9.4]"
student_cases,"[8.6, 2.2, 1.0]","[8.6, 7.8, 9.4]","[8.6, 5.0, 5.2]","[8.6, 4.2, 3.2]","[8.6, 4.4, 1.4]","[8.6, 4.2, 1.6]","[8.6, 2.0, 1.2]"
teacher_cases,"[0.6, 0.4, 0.0]","[0.6, 0.0, 0.2]","[0.6, 0.0, 0.2]","[0.6, 0.2, 0.0]","[0.6, 0.2, 0.0]","[0.6, 0.6, 0.0]","[0.6, 0.0, 0.2]"
cases_in_pk,"[1.4, 0.4, 0.2]","[1.4, 0.0, 0.6]","[1.4, 0.6, 0.4]","[1.4, 0.6, 0.2]","[1.4, 0.6, 0.0]","[1.4, 0.4, 0.0]","[1.4, 0.0, 0.0]"
cases_in_es,"[2.0, 0.6, 0.2]","[2.0, 1.4, 1.2]","[2.0, 0.8, 0.8]","[2.0, 0.6, 0.4]","[2.0, 1.0, 0.8]","[2.0, 1.4, 0.4]","[2.0, 0.0, 0.2]"
cases_in_ms,"[1.6, 0.2, 0.0]","[1.6, 0.0, 0.6]","[1.6, 1.0, 1.6]","[1.6, 0.4, 0.2]","[1.6, 0.8, 0.0]","[1.6, 0.6, 0.2]","[1.6, 0.2, 0.0]"
cases_in_hs,"[1.8, 1.0, 0.2]","[1.8, 2.8, 0.2]","[1.8, 0.8, 1.4]","[1.8, 1.2, 1.4]","[1.8, 1.2, 0.2]","[1.8, 1.2, 0.6]","[1.8, 1.4, 0.6]"
cases_in_uv,"[2.4, 0.4, 0.4]","[2.4, 3.6, 7.0]","[2.4, 1.8, 1.2]","[2.4, 1.6, 1.0]","[2.4, 1.0, 0.4]","[2.4, 1.2, 0.4]","[2.4, 0.4, 0.6]"
pk_with_a_case,"[1.2, 0.4, 0.2]","[1.2, 0.0, 0.4]","[1.2, 0.4, 0.4]","[1.2, 0.6, 0.2]","[1.2, 0.6, 0.0]","[1.2, 0.4, 0.0]","[1.2, 0.0, 0.0]"
es_with_a_case,"[1.8, 0.4, 0.2]","[1.8, 1.2, 1.0]","[1.8, 0.6, 0.4]","[1.8, 0.6, 0.4]","[1.8, 1.0, 0.6]","[1.8, 1.2, 0.4]","[1.8, 0.0, 0.2]"
ms_with_a_case,"[1.2, 0.2, 0.0]","[1.2, 0.0, 0.6]","[1.2, 0.6, 1.0]","[1.2, 0.4, 0.2]","[1.2, 0.6, 0.0]","[1.2, 0.4, 0.2]","[1.2, 0.2, 0.0]"
hs_with_a_case,"[1.8, 0.8, 0.2]","[1.8, 2.0, 0.2]","[1.8, 0.8, 1.2]","[1.8, 1.2, 0.6]","[1.8, 0.8, 0.2]","[1.8, 1.0, 0.4]","[1.8, 1.2, 0.6]"
uv_with_a_case,"[2.4, 0.4, 0.4]","[2.4, 2.6, 4.2]","[2.4, 1.8, 1.2]","[2.4, 1.4, 1.0]","[2.4, 1.0, 0.4]","[2.4, 1.2, 0.4]","[2.4, 0.4, 0.6]"
