,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,103336.21128176579,113654.78646974775,106742.1753759867,106922.88859061962,105768.96113787631,105720.1119381851,106325.80302462568,104628.43424569533
num_tested,0.0,0.0,0.0,0.0,0.0,929.4,1822.6,3584.6
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,43.2,252.0
test_pos,0.0,0.0,0.0,0.0,0.0,86.8,160.2,252.0
school_days_lost,0.0,0.0,0.0,0.0,46541.6,46399.6,50990.2,63196.6
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[83.8],[176.0],[112.8],[121.2],[101.2],[98.0],[116.8],[79.8]
student_cases,[10.4],[45.6],[22.8],[17.8],[14.2],[12.0],[16.4],[8.6]
teacher_cases,[1.4],[2.8],[1.2],[1.6],[0.4],[0.8],[0.8],[0.6]
cases_in_pk,[1.0],[2.4],[1.4],[1.2],[1.2],[0.8],[1.2],[1.0]
cases_in_es,[2.6],[6.6],[4.6],[4.2],[4.2],[3.0],[4.8],[1.8]
cases_in_ms,[1.8],[3.0],[3.6],[4.0],[2.2],[1.2],[1.4],[1.4]
cases_in_hs,[1.8],[8.8],[4.2],[4.6],[2.8],[2.6],[5.8],[3.0]
cases_in_uv,[4.6],[27.6],[10.2],[5.4],[4.2],[5.2],[4.0],[2.0]
pk_with_a_case,[0.8],[1.8],[1.4],[1.2],[1.2],[0.8],[1.2],[1.0]
es_with_a_case,[2.0],[5.0],[3.8],[4.0],[3.4],[2.2],[4.0],[1.6]
ms_with_a_case,[1.6],[2.0],[3.0],[2.0],[2.0],[1.2],[1.0],[1.2]
hs_with_a_case,[1.8],[4.4],[2.6],[3.2],[2.4],[2.6],[3.6],[2.2]
uv_with_a_case,[4.6],[13.2],[6.8],[5.4],[4.0],[5.0],[4.0],[2.0]
