,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,173774.7025565246,223747.48178236288,205640.48160657304,188101.38774336115,187236.16587349854,179475.65738773058,178400.82069882946,168925.04878733674
num_tested,0.0,0.0,0.0,0.0,0.0,1479.8,2684.0,5078.0
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,257.2,1755.2
test_pos,0.0,0.0,0.0,0.0,0.0,636.6,1008.8,1755.2
school_days_lost,0.0,0.0,0.0,0.0,65447.2,61668.0,80457.6,161674.0
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[865.6],[1489.2],[1262.4],[1050.4],[1061.4],[943.8],[988.4],[847.2]
student_cases,[104.6],[280.8],[203.2],[149.2],[122.0],[114.8],[120.6],[103.6]
teacher_cases,[5.2],[21.6],[16.0],[8.2],[9.8],[8.8],[8.8],[8.4]
cases_in_pk,[8.8],[18.8],[10.2],[10.0],[7.2],[11.2],[10.4],[8.8]
cases_in_es,[20.8],[50.4],[35.2],[30.6],[27.4],[27.4],[27.0],[23.8]
cases_in_ms,[10.6],[27.0],[21.2],[23.6],[19.0],[16.4],[16.4],[12.0]
cases_in_hs,[25.4],[69.4],[55.8],[44.4],[33.0],[31.8],[33.8],[30.0]
cases_in_uv,[44.2],[136.8],[96.8],[48.8],[45.2],[36.8],[41.8],[37.4]
pk_with_a_case,[5.0],[8.8],[5.6],[4.8],[5.4],[6.0],[5.8],[5.0]
es_with_a_case,[12.2],[17.6],[16.2],[15.6],[13.2],[15.4],[14.4],[14.4]
ms_with_a_case,[6.6],[10.2],[8.6],[9.4],[8.0],[8.0],[9.0],[7.0]
hs_with_a_case,[12.4],[16.2],[15.8],[14.8],[12.6],[13.2],[13.0],[13.0]
uv_with_a_case,[36.4],[60.4],[54.0],[37.8],[34.4],[31.0],[31.6],[31.0]
