,no_school,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,156073.05859961355,227299.37983285333,189338.17349986712,175026.83925360107,166879.7621956706,161884.70953169523,152273.64157940832
num_tested,0.0,0.0,0.0,0.0,1472.4,2628.6,4879.4
num_traced,0.0,0.0,0.0,0.0,0.0,241.6,1549.8
test_pos,0.0,0.0,0.0,0.0,633.4,968.0,1549.8
school_days_lost,0.0,0.0,0.0,64775.2,59121.4,78418.4,150090.4
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[783.6],[1444.6],[1117.4],[986.0],[908.8],[855.0],[764.4]
student_cases,[93.4],[301.4],[163.2],[128.6],[120.2],[109.4],[98.6]
teacher_cases,[5.6],[21.8],[13.6],[10.6],[9.2],[7.0],[7.6]
cases_in_pk,[7.6],[18.8],[11.2],[10.8],[11.6],[9.2],[6.4]
cases_in_es,[18.4],[50.0],[41.0],[28.8],[26.4],[23.6],[22.2]
cases_in_ms,[12.8],[29.0],[27.6],[19.6],[16.0],[16.0],[13.4]
cases_in_hs,[21.2],[70.0],[52.8],[41.2],[36.8],[29.2],[32.0]
cases_in_uv,[39.0],[155.4],[44.2],[38.8],[38.6],[38.4],[32.2]
pk_with_a_case,[4.8],[7.6],[5.2],[6.0],[6.0],[5.4],[4.4]
es_with_a_case,[12.0],[19.0],[17.8],[14.6],[12.6],[11.8],[13.2]
ms_with_a_case,[7.4],[11.2],[10.6],[10.0],[7.6],[7.6],[7.2]
hs_with_a_case,[11.2],[15.4],[15.4],[14.0],[13.4],[11.6],[12.6]
uv_with_a_case,[30.8],[63.6],[34.2],[31.6],[33.2],[30.8],[25.8]
