,no_school,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,83182.93489164338,83304.00298073147,83207.6517264572,83114.40857715956,83105.52827722646,83123.28887709268,83129.9491020425
num_tested,0.0,0.0,0.0,0.0,822.0,1663.4,3342.4
num_traced,0.0,0.0,0.0,0.0,0.0,0.4,5.2
test_pos,0.0,0.0,0.0,0.0,0.6,1.8,5.2
school_days_lost,0.0,0.0,0.0,44587.2,44580.0,44655.8,45054.2
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[1.0],[3.2],[2.4],[1.2],[1.0],[1.2],[1.2]
student_cases,[0.0],[0.6],[0.6],[0.0],[0.0],[0.0],[0.0]
teacher_cases,[0.0],[0.4],[0.0],[0.0],[0.0],[0.0],[0.0]
cases_in_pk,[0.0],[0.0],[0.2],[0.0],[0.0],[0.0],[0.0]
cases_in_es,[0.0],[0.6],[0.0],[0.0],[0.0],[0.0],[0.0]
cases_in_ms,[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
cases_in_hs,[0.0],[0.2],[0.4],[0.0],[0.0],[0.0],[0.0]
cases_in_uv,[0.0],[0.2],[0.0],[0.0],[0.0],[0.0],[0.0]
pk_with_a_case,[0.0],[0.0],[0.2],[0.0],[0.0],[0.0],[0.0]
es_with_a_case,[0.0],[0.4],[0.0],[0.0],[0.0],[0.0],[0.0]
ms_with_a_case,[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
hs_with_a_case,[0.0],[0.2],[0.2],[0.0],[0.0],[0.0],[0.0]
uv_with_a_case,[0.0],[0.2],[0.0],[0.0],[0.0],[0.0],[0.0]
