,no_school,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,91420.2013206123,98730.82057298653,94384.50541998181,94032.74199984169,93240.70272302846,92611.86623140857,92568.99526581369
num_tested,0.0,0.0,0.0,0.0,918.8,1732.4,3468.0
num_traced,0.0,0.0,0.0,0.0,0.0,15.8,130.8
test_pos,0.0,0.0,0.0,0.0,57.0,67.2,130.8
school_days_lost,0.0,0.0,0.0,45822.0,45566.0,46259.2,54450.4
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,"[67.2, 49.4, 29.6]","[67.2, 87.2, 124.4]","[67.2, 71.6, 67.4]","[67.2, 68.8, 63.6]","[67.2, 66.6, 59.2]","[67.2, 57.2, 45.2]","[67.2, 59.6, 44.4]"
student_cases,"[7.0, 7.0, 3.0]","[7.0, 21.8, 33.0]","[7.0, 12.0, 13.6]","[7.0, 7.6, 10.4]","[7.0, 9.2, 9.8]","[7.0, 6.0, 7.0]","[7.0, 8.6, 6.6]"
teacher_cases,"[0.8, 0.4, 0.4]","[0.8, 1.6, 2.2]","[0.8, 0.6, 1.0]","[0.8, 0.8, 0.2]","[0.8, 1.0, 0.6]","[0.8, 0.6, 0.8]","[0.8, 0.2, 0.0]"
cases_in_pk,"[1.0, 0.4, 0.4]","[1.0, 1.4, 1.4]","[1.0, 0.8, 0.8]","[1.0, 0.2, 0.6]","[1.0, 0.4, 0.8]","[1.0, 0.0, 0.2]","[1.0, 0.2, 1.0]"
cases_in_es,"[2.0, 1.6, 0.4]","[2.0, 2.4, 4.6]","[2.0, 1.6, 3.6]","[2.0, 1.4, 1.4]","[2.0, 2.4, 2.4]","[2.0, 0.4, 2.0]","[2.0, 1.6, 1.0]"
cases_in_ms,"[1.6, 1.4, 0.2]","[1.6, 2.2, 2.6]","[1.6, 1.2, 1.6]","[1.6, 2.0, 0.6]","[1.6, 1.4, 2.0]","[1.6, 1.0, 0.6]","[1.6, 0.8, 0.8]"
cases_in_hs,"[1.8, 2.2, 1.2]","[1.8, 4.6, 8.2]","[1.8, 5.6, 6.0]","[1.8, 2.6, 3.2]","[1.8, 3.2, 2.8]","[1.8, 2.6, 3.4]","[1.8, 3.0, 2.0]"
cases_in_uv,"[1.4, 1.8, 1.2]","[1.4, 12.8, 18.4]","[1.4, 3.4, 2.6]","[1.4, 2.2, 4.8]","[1.4, 2.8, 2.4]","[1.4, 2.6, 1.6]","[1.4, 3.2, 1.8]"
pk_with_a_case,"[1.0, 0.4, 0.4]","[1.0, 1.0, 1.2]","[1.0, 0.8, 0.8]","[1.0, 0.2, 0.6]","[1.0, 0.4, 0.8]","[1.0, 0.0, 0.2]","[1.0, 0.2, 1.0]"
es_with_a_case,"[1.6, 1.6, 0.4]","[1.6, 2.4, 3.2]","[1.6, 1.2, 3.0]","[1.6, 1.2, 1.4]","[1.6, 1.8, 2.2]","[1.6, 0.4, 1.8]","[1.6, 1.6, 1.0]"
ms_with_a_case,"[1.4, 1.4, 0.2]","[1.4, 2.0, 2.0]","[1.4, 1.2, 1.4]","[1.4, 1.6, 0.6]","[1.4, 1.2, 1.0]","[1.4, 0.4, 0.6]","[1.4, 0.8, 0.8]"
hs_with_a_case,"[1.6, 2.2, 1.0]","[1.6, 3.4, 4.4]","[1.6, 4.6, 3.4]","[1.6, 2.4, 2.4]","[1.6, 2.2, 2.4]","[1.6, 2.2, 2.4]","[1.6, 2.0, 1.6]"
uv_with_a_case,"[1.4, 1.8, 1.2]","[1.4, 6.8, 11.0]","[1.4, 3.2, 2.6]","[1.4, 2.0, 4.6]","[1.4, 2.8, 2.4]","[1.4, 2.6, 1.6]","[1.4, 3.2, 1.6]"
