,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,99617.7359915199,119328.1593856377,109100.05976738843,102507.7543506748,100463.55076240329,100900.65320045745,99072.3440831099,97047.1745928133
num_tested,0.0,0.0,0.0,0.0,0.0,996.4,1966.2,3843.6
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,82.8,510.6
test_pos,0.0,0.0,0.0,0.0,0.0,178.6,310.0,510.6
school_days_lost,0.0,0.0,0.0,0.0,49036.4,48210.0,55966.0,79450.8
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[231.2],[445.8],[347.2],[271.8],[236.6],[239.0],[226.6],[206.0]
student_cases,[23.4],[96.4],[74.4],[44.4],[29.4],[32.2],[34.4],[22.2]
teacher_cases,[2.6],[7.8],[3.8],[3.6],[1.8],[1.4],[2.4],[2.4]
cases_in_pk,[2.0],[6.8],[4.4],[3.2],[2.0],[2.8],[2.4],[2.0]
cases_in_es,[4.0],[16.2],[10.0],[9.8],[6.4],[7.0],[8.2],[5.0]
cases_in_ms,[2.0],[8.0],[6.6],[5.6],[3.0],[4.0],[7.0],[3.6]
cases_in_hs,[7.4],[22.2],[17.8],[15.0],[9.4],[8.6],[11.4],[5.8]
cases_in_uv,[10.6],[51.0],[39.4],[14.4],[10.4],[11.2],[7.8],[8.2]
pk_with_a_case,[1.8],[4.0],[3.0],[2.8],[1.6],[2.4],[2.0],[1.8]
es_with_a_case,[3.6],[8.8],[6.8],[7.0],[5.2],[5.4],[5.6],[3.8]
ms_with_a_case,[1.8],[4.8],[4.0],[3.8],[2.6],[3.4],[4.6],[2.8]
hs_with_a_case,[4.2],[11.0],[8.6],[8.2],[5.8],[7.4],[6.0],[3.8]
uv_with_a_case,[9.4],[25.0],[23.4],[14.2],[9.4],[10.4],[7.6],[7.8]
