,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,78495.05840318625,102117.79721777898,85942.52015093158,84986.59932142195,81027.4048191158,80619.97686946152,78684.11356149777,77869.86959780868
num_tested,0.0,0.0,0.0,0.0,0.0,909.0,1774.0,3512.2
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,28.4,175.4
test_pos,0.0,0.0,0.0,0.0,0.0,81.0,110.4,175.4
school_days_lost,0.0,0.0,0.0,0.0,47216.4,46190.0,49113.2,57708.4
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[92.8],[341.6],[180.8],[169.0],[119.8],[113.6],[108.4],[81.6]
student_cases,[10.2],[101.2],[39.4],[29.0],[14.8],[16.6],[15.4],[11.4]
teacher_cases,[0.8],[9.0],[2.4],[1.4],[1.8],[1.0],[0.8],[0.4]
cases_in_pk,[0.8],[3.6],[3.4],[1.8],[0.4],[0.0],[0.2],[1.0]
cases_in_es,[1.8],[12.2],[6.2],[8.4],[4.2],[4.0],[3.0],[3.4]
cases_in_ms,[1.8],[7.8],[3.4],[5.4],[2.0],[2.8],[2.6],[1.6]
cases_in_hs,[3.6],[23.0],[10.0],[7.2],[5.6],[5.4],[5.2],[2.0]
cases_in_uv,[3.0],[63.6],[18.8],[7.6],[4.4],[5.4],[5.2],[3.8]
pk_with_a_case,[0.8],[2.2],[2.2],[1.6],[0.4],[0.0],[0.2],[1.0]
es_with_a_case,[1.8],[8.2],[4.2],[5.4],[3.4],[3.4],[3.0],[3.0]
ms_with_a_case,[1.8],[4.8],[2.8],[3.0],[1.8],[2.0],[2.2],[1.4]
hs_with_a_case,[3.0],[7.8],[5.4],[4.6],[3.6],[4.2],[3.6],[1.8]
uv_with_a_case,[3.0],[22.0],[11.6],[7.6],[4.4],[5.4],[5.2],[3.6]
