,no_school,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,74221.07416070157,77936.6833913504,75781.19363076822,74760.91322027166,74926.67881902301,74339.06227799461,74226.55401520574
num_tested,0.0,0.0,0.0,0.0,867.6,1709.2,3393.6
num_traced,0.0,0.0,0.0,0.0,0.0,11.2,55.4
test_pos,0.0,0.0,0.0,0.0,26.4,44.8,55.4
school_days_lost,0.0,0.0,0.0,45228.4,45021.8,46334.0,49298.8
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,"[54.2, 36.0, 19.4]","[54.2, 64.0, 83.0]","[54.2, 44.8, 46.8]","[54.2, 34.0, 35.2]","[54.2, 34.0, 39.4]","[54.2, 29.8, 27.0]","[54.2, 35.2, 29.2]"
student_cases,"[7.6, 4.8, 3.0]","[7.6, 17.2, 25.0]","[7.6, 7.4, 9.8]","[7.6, 4.6, 4.4]","[7.6, 4.0, 6.2]","[7.6, 3.8, 2.2]","[7.6, 4.8, 3.8]"
teacher_cases,"[0.0, 0.4, 0.0]","[0.0, 1.2, 2.0]","[0.0, 0.6, 0.8]","[0.0, 0.2, 0.2]","[0.0, 0.4, 0.6]","[0.0, 0.2, 0.2]","[0.0, 0.6, 0.4]"
cases_in_pk,"[0.4, 0.6, 0.2]","[0.4, 0.8, 1.8]","[0.4, 0.6, 0.2]","[0.4, 0.2, 1.0]","[0.4, 0.4, 0.4]","[0.4, 0.4, 0.0]","[0.4, 0.2, 0.0]"
cases_in_es,"[1.8, 1.2, 0.4]","[1.8, 2.2, 2.2]","[1.8, 2.0, 2.2]","[1.8, 1.0, 1.0]","[1.8, 1.0, 1.2]","[1.8, 1.0, 0.6]","[1.8, 1.0, 1.0]"
cases_in_ms,"[1.0, 0.0, 0.4]","[1.0, 1.2, 1.4]","[1.0, 1.8, 1.2]","[1.0, 0.2, 0.2]","[1.0, 0.4, 0.6]","[1.0, 0.8, 0.4]","[1.0, 1.4, 0.6]"
cases_in_hs,"[1.4, 1.4, 0.8]","[1.4, 3.8, 7.6]","[1.4, 2.2, 3.4]","[1.4, 1.6, 0.8]","[1.4, 0.6, 2.2]","[1.4, 1.2, 0.6]","[1.4, 1.0, 2.0]"
cases_in_uv,"[3.0, 2.0, 1.2]","[3.0, 10.4, 14.0]","[3.0, 1.4, 3.6]","[3.0, 1.8, 1.6]","[3.0, 2.0, 2.4]","[3.0, 0.6, 0.8]","[3.0, 1.8, 0.6]"
pk_with_a_case,"[0.4, 0.6, 0.2]","[0.4, 0.8, 1.6]","[0.4, 0.6, 0.2]","[0.4, 0.2, 1.0]","[0.4, 0.4, 0.4]","[0.4, 0.4, 0.0]","[0.4, 0.2, 0.0]"
es_with_a_case,"[1.4, 1.2, 0.4]","[1.4, 1.4, 1.8]","[1.4, 1.8, 2.0]","[1.4, 1.0, 1.0]","[1.4, 0.8, 1.0]","[1.4, 0.8, 0.4]","[1.4, 1.0, 0.8]"
ms_with_a_case,"[0.8, 0.0, 0.4]","[0.8, 1.0, 1.0]","[0.8, 1.4, 1.0]","[0.8, 0.2, 0.2]","[0.8, 0.2, 0.6]","[0.8, 0.8, 0.4]","[0.8, 1.4, 0.4]"
hs_with_a_case,"[1.2, 1.4, 0.8]","[1.2, 2.8, 4.4]","[1.2, 1.8, 2.0]","[1.2, 1.2, 0.6]","[1.2, 0.6, 1.6]","[1.2, 1.0, 0.6]","[1.2, 1.0, 1.0]"
uv_with_a_case,"[3.0, 1.8, 1.2]","[3.0, 5.6, 7.0]","[3.0, 1.4, 3.4]","[3.0, 1.8, 1.6]","[3.0, 2.0, 2.4]","[3.0, 0.6, 0.8]","[3.0, 1.6, 0.6]"
