,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,118154.24219186844,147922.62088579847,136621.08635540292,123054.3125886595,120292.03949515685,122300.24083132685,117564.87453085615,114630.61898819511
num_tested,0.0,0.0,0.0,0.0,0.0,1108.6,2089.0,4089.6
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,102.6,759.2
test_pos,0.0,0.0,0.0,0.0,0.0,272.4,397.0,759.2
school_days_lost,0.0,0.0,0.0,0.0,51872.8,51374.8,58807.2,97924.8
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[380.6],[703.0],[603.6],[418.8],[411.2],[430.4],[389.4],[345.6]
student_cases,[48.2],[133.6],[99.6],[53.8],[56.8],[56.2],[54.4],[41.6]
teacher_cases,[4.0],[8.6],[7.0],[4.2],[3.4],[5.0],[3.4],[4.8]
cases_in_pk,[4.2],[6.8],[5.4],[3.6],[4.8],[4.6],[5.4],[2.6]
cases_in_es,[9.0],[20.8],[15.4],[13.4],[12.0],[13.6],[14.0],[12.4]
cases_in_ms,[7.0],[10.8],[11.6],[7.8],[7.4],[9.2],[7.0],[8.2]
cases_in_hs,[12.8],[36.8],[21.6],[16.8],[17.6],[13.8],[13.8],[12.0]
cases_in_uv,[19.2],[67.0],[52.6],[16.4],[18.4],[20.0],[17.6],[11.2]
pk_with_a_case,[2.6],[3.4],[3.8],[2.2],[3.2],[3.4],[4.0],[2.4]
es_with_a_case,[6.4],[12.4],[9.8],[9.0],[8.8],[8.8],[9.2],[8.2]
ms_with_a_case,[3.4],[5.8],[6.6],[4.8],[4.4],[6.8],[4.4],[5.4]
hs_with_a_case,[9.0],[13.8],[10.4],[9.6],[9.6],[8.2],[9.6],[8.0]
uv_with_a_case,[17.6],[35.0],[30.4],[15.0],[16.2],[17.2],[16.0],[10.2]
