,no_school,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,70399.08091587514,70881.23883567305,70632.87655089096,70857.34264465471,70874.79744906865,70838.73804934027,70760.4377338144
num_tested,0.0,0.0,0.0,0.0,843.8,1669.2,3356.0
num_traced,0.0,0.0,0.0,0.0,0.0,2.6,18.2
test_pos,0.0,0.0,0.0,0.0,10.0,16.4,18.2
school_days_lost,0.0,0.0,0.0,44716.0,44726.0,44910.2,46083.8
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,"[16.8, 11.8, 3.8]","[16.8, 9.6, 10.0]","[16.8, 13.0, 5.2]","[16.8, 13.8, 19.2]","[16.8, 11.4, 21.4]","[16.8, 12.8, 19.8]","[16.8, 12.0, 16.6]"
student_cases,"[1.8, 2.2, 0.2]","[1.8, 3.6, 2.8]","[1.8, 2.0, 1.4]","[1.8, 1.8, 1.4]","[1.8, 1.0, 2.8]","[1.8, 1.4, 2.4]","[1.8, 1.0, 1.2]"
teacher_cases,"[0.0, 0.2, 0.0]","[0.0, 0.6, 0.0]","[0.0, 0.6, 0.2]","[0.0, 0.0, 0.2]","[0.0, 0.2, 0.4]","[0.0, 0.2, 0.2]","[0.0, 0.2, 0.2]"
cases_in_pk,"[0.0, 0.2, 0.0]","[0.0, 0.2, 0.0]","[0.0, 0.2, 0.0]","[0.0, 0.0, 0.4]","[0.0, 0.2, 0.0]","[0.0, 0.2, 0.0]","[0.0, 0.2, 0.0]"
cases_in_es,"[0.2, 0.4, 0.0]","[0.2, 1.2, 0.2]","[0.2, 0.2, 0.0]","[0.2, 0.2, 0.0]","[0.2, 0.4, 0.4]","[0.2, 0.4, 0.8]","[0.2, 0.2, 0.4]"
cases_in_ms,"[0.6, 0.0, 0.0]","[0.6, 0.0, 0.2]","[0.6, 0.4, 0.6]","[0.6, 0.0, 0.4]","[0.6, 0.2, 0.6]","[0.6, 0.0, 0.6]","[0.6, 0.2, 0.4]"
cases_in_hs,"[0.2, 0.8, 0.0]","[0.2, 0.8, 0.4]","[0.2, 1.6, 1.0]","[0.2, 1.0, 0.4]","[0.2, 0.0, 1.8]","[0.2, 0.2, 0.6]","[0.2, 0.2, 0.2]"
cases_in_uv,"[0.8, 1.0, 0.2]","[0.8, 2.0, 2.0]","[0.8, 0.2, 0.0]","[0.8, 0.6, 0.4]","[0.8, 0.4, 0.4]","[0.8, 0.8, 0.6]","[0.8, 0.4, 0.4]"
pk_with_a_case,"[0.0, 0.2, 0.0]","[0.0, 0.2, 0.0]","[0.0, 0.2, 0.0]","[0.0, 0.0, 0.4]","[0.0, 0.2, 0.0]","[0.0, 0.2, 0.0]","[0.0, 0.2, 0.0]"
es_with_a_case,"[0.2, 0.4, 0.0]","[0.2, 0.6, 0.2]","[0.2, 0.2, 0.0]","[0.2, 0.2, 0.0]","[0.2, 0.4, 0.4]","[0.2, 0.4, 0.6]","[0.2, 0.2, 0.4]"
ms_with_a_case,"[0.6, 0.0, 0.0]","[0.6, 0.0, 0.2]","[0.6, 0.2, 0.4]","[0.6, 0.0, 0.4]","[0.6, 0.2, 0.6]","[0.6, 0.0, 0.6]","[0.6, 0.2, 0.4]"
hs_with_a_case,"[0.2, 0.8, 0.0]","[0.2, 0.8, 0.4]","[0.2, 1.2, 0.2]","[0.2, 0.4, 0.4]","[0.2, 0.0, 1.4]","[0.2, 0.2, 0.6]","[0.2, 0.2, 0.2]"
uv_with_a_case,"[0.8, 1.0, 0.2]","[0.8, 1.0, 1.2]","[0.8, 0.2, 0.0]","[0.8, 0.6, 0.4]","[0.8, 0.4, 0.4]","[0.8, 0.8, 0.6]","[0.8, 0.4, 0.4]"
