,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,94735.54796242407,106906.74173407207,106270.07053830582,98456.53835229312,97419.61428074933,94897.12945985694,94457.42271433283,93504.3002968983
num_tested,0.0,0.0,0.0,0.0,0.0,900.4,1775.8,3498.4
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,31.6,160.6
test_pos,0.0,0.0,0.0,0.0,0.0,69.8,117.4,160.6
school_days_lost,0.0,0.0,0.0,0.0,46373.6,45944.6,48164.2,56615.4
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[89.0],[197.8],[221.8],[126.2],[122.4],[87.2],[82.8],[68.6]
student_cases,[12.8],[51.4],[51.2],[20.0],[19.2],[11.8],[11.4],[10.0]
teacher_cases,[1.0],[3.4],[6.2],[0.8],[1.4],[1.4],[0.8],[0.4]
cases_in_pk,[0.6],[3.8],[3.6],[1.4],[0.8],[1.6],[0.6],[0.8]
cases_in_es,[2.6],[9.6],[8.4],[2.6],[4.6],[3.6],[2.8],[2.6]
cases_in_ms,[1.8],[5.2],[3.8],[3.2],[2.8],[1.8],[2.4],[0.6]
cases_in_hs,[3.0],[10.2],[16.0],[8.0],[5.4],[2.8],[3.6],[1.8]
cases_in_uv,[5.8],[26.0],[25.6],[5.6],[7.0],[3.4],[2.8],[4.6]
pk_with_a_case,[0.4],[2.0],[3.0],[1.4],[0.8],[1.6],[0.6],[0.8]
es_with_a_case,[2.2],[5.8],[6.0],[2.4],[3.8],[2.8],[2.8],[2.2]
ms_with_a_case,[1.8],[4.0],[2.2],[2.4],[1.8],[1.4],[2.4],[0.6]
hs_with_a_case,[2.4],[5.0],[8.4],[5.8],[4.6],[2.4],[2.4],[1.8]
uv_with_a_case,[5.2],[13.0],[15.6],[5.6],[6.2],[3.0],[2.6],[4.2]
