,no_school,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,99482.24090309363,111954.71357069144,106977.37648228595,104610.80162442781,104128.26971372176,102460.87068191568,100104.25501388969
num_tested,0.0,0.0,0.0,0.0,951.0,1847.6,3611.6
num_traced,0.0,0.0,0.0,0.0,0.0,42.6,276.0
test_pos,0.0,0.0,0.0,0.0,118.8,184.4,276.0
school_days_lost,0.0,0.0,0.0,47821.2,47100.4,51193.6,64522.2
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[95.8],[241.0],[176.4],[175.8],[140.6],[130.4],[106.2]
student_cases,[15.2],[64.8],[27.8],[23.6],[18.4],[19.6],[14.2]
teacher_cases,[0.4],[2.2],[3.4],[1.6],[2.4],[1.0],[2.2]
cases_in_pk,[1.4],[3.6],[1.8],[1.2],[1.4],[1.6],[1.6]
cases_in_es,[2.2],[12.2],[4.6],[4.4],[6.2],[5.8],[4.0]
cases_in_ms,[1.6],[5.4],[5.2],[3.6],[2.4],[2.4],[1.6]
cases_in_hs,[3.8],[13.0],[11.8],[9.6],[6.4],[4.4],[4.0]
cases_in_uv,[6.6],[32.8],[7.8],[6.4],[4.4],[6.4],[5.2]
pk_with_a_case,[1.4],[1.6],[1.6],[1.2],[0.8],[1.4],[1.0]
es_with_a_case,[2.2],[8.0],[3.6],[3.0],[5.0],[4.4],[3.4]
ms_with_a_case,[1.2],[3.8],[3.2],[2.8],[1.6],[2.0],[1.6]
hs_with_a_case,[3.0],[5.8],[6.6],[6.0],[4.6],[3.2],[2.6]
uv_with_a_case,[6.2],[18.6],[7.4],[6.0],[4.2],[6.0],[4.8]
