,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,122171.92655977405,159932.51143840648,149132.84819202925,134665.81624560725,130099.33087932659,132635.91054630332,128006.85077058764,119948.35292067115
num_tested,0.0,0.0,0.0,0.0,0.0,1173.8,2224.8,4199.2
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,135.4,871.4
test_pos,0.0,0.0,0.0,0.0,0.0,346.8,578.4,871.4
school_days_lost,0.0,0.0,0.0,0.0,54000.8,52186.6,64273.0,103618.6
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[428.0],[764.6],[706.4],[553.0],[497.8],[489.0],[461.8],[385.0]
student_cases,[50.0],[169.6],[128.6],[65.4],[60.6],[60.0],[64.2],[53.4]
teacher_cases,[2.8],[11.6],[9.0],[6.8],[2.6],[3.6],[5.2],[3.4]
cases_in_pk,[4.8],[11.6],[8.2],[4.8],[4.6],[3.0],[7.2],[5.6]
cases_in_es,[9.8],[23.6],[22.6],[16.2],[10.8],[14.4],[14.4],[11.4]
cases_in_ms,[6.8],[18.0],[12.8],[8.8],[9.2],[7.6],[6.4],[7.6]
cases_in_hs,[11.6],[39.6],[32.2],[20.8],[21.2],[19.6],[19.0],[11.0]
cases_in_uv,[19.8],[88.4],[61.8],[21.6],[17.4],[19.0],[22.4],[21.2]
pk_with_a_case,[4.0],[4.6],[5.0],[2.8],[3.0],[2.6],[4.4],[4.4]
es_with_a_case,[7.8],[12.2],[12.8],[9.0],[8.0],[10.4],[10.0],[8.4]
ms_with_a_case,[5.0],[8.6],[6.6],[4.8],[5.2],[5.8],[4.6],[4.2]
hs_with_a_case,[8.2],[13.2],[11.4],[10.0],[10.8],[10.4],[10.6],[7.2]
uv_with_a_case,[17.2],[41.2],[35.8],[20.2],[16.6],[16.8],[20.0],[19.2]
