,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,119976.87935002489,228696.95102330708,164041.86530008935,143412.7725261638,136463.93450524475,121101.3547699963,125649.88969197377,114905.14707130159
num_tested,0.0,0.0,0.0,0.0,0.0,1162.2,2261.8,4166.2
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,148.6,835.2
test_pos,0.0,0.0,0.0,0.0,0.0,323.6,598.0,835.2
school_days_lost,0.0,0.0,0.0,0.0,56938.0,51518.8,66139.2,105785.8
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[489.4],[1416.6],[877.4],[711.4],[660.8],[506.8],[536.8],[429.4]
student_cases,[56.4],[352.2],[183.0],[100.4],[86.4],[67.2],[69.2],[48.4]
teacher_cases,[3.2],[25.2],[10.8],[7.4],[6.4],[5.2],[3.6],[3.8]
cases_in_pk,[5.6],[19.2],[13.0],[6.0],[6.8],[6.2],[6.0],[3.8]
cases_in_es,[12.2],[50.6],[21.6],[27.2],[20.4],[14.8],[14.0],[12.0]
cases_in_ms,[8.0],[27.6],[20.2],[10.6],[11.8],[9.8],[8.6],[5.8]
cases_in_hs,[12.8],[74.0],[43.8],[38.4],[25.8],[20.6],[19.2],[14.2]
cases_in_uv,[21.0],[206.0],[95.2],[25.6],[28.0],[21.0],[25.0],[16.4]
pk_with_a_case,[3.8],[6.2],[6.2],[4.2],[4.0],[4.2],[4.0],[2.8]
es_with_a_case,[9.2],[18.2],[12.4],[13.4],[12.0],[9.4],[9.2],[8.8]
ms_with_a_case,[4.8],[10.0],[8.4],[6.6],[7.0],[5.8],[5.2],[4.4]
hs_with_a_case,[8.2],[15.6],[13.6],[13.2],[11.8],[9.8],[10.6],[8.2]
uv_with_a_case,[18.4],[63.8],[47.0],[21.0],[24.2],[18.8],[21.0],[15.6]
