,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,110547.5475759889,136849.42426464643,126591.66157168648,117418.49772923689,112633.31126657194,110703.39768997607,113585.29013975358,109146.9763448092
num_tested,0.0,0.0,0.0,0.0,0.0,964.2,1949.4,3726.0
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,68.4,389.2
test_pos,0.0,0.0,0.0,0.0,0.0,131.4,276.6,389.2
school_days_lost,0.0,0.0,0.0,0.0,48403.6,47296.0,54013.6,73004.4
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[144.0],[455.6],[332.6],[226.4],[177.4],[168.6],[176.8],[135.2]
student_cases,[19.6],[106.2],[69.4],[37.8],[25.0],[23.4],[23.2],[19.8]
teacher_cases,[1.6],[8.8],[5.4],[3.4],[1.6],[1.2],[1.4],[0.8]
cases_in_pk,[1.4],[7.2],[3.8],[2.2],[1.6],[1.8],[1.4],[0.8]
cases_in_es,[4.6],[18.8],[11.6],[8.6],[5.0],[4.8],[5.0],[5.8]
cases_in_ms,[3.0],[13.6],[8.8],[6.2],[3.0],[4.4],[3.0],[2.0]
cases_in_hs,[4.8],[22.8],[18.2],[15.4],[9.4],[5.2],[6.8],[6.8]
cases_in_uv,[7.4],[52.6],[32.4],[8.8],[7.6],[8.4],[8.4],[5.2]
pk_with_a_case,[1.2],[4.0],[3.2],[1.8],[1.6],[1.6],[1.4],[0.6]
es_with_a_case,[4.2],[11.8],[7.6],[6.6],[4.0],[3.8],[4.6],[4.2]
ms_with_a_case,[2.6],[6.0],[4.8],[4.0],[2.0],[3.2],[2.8],[1.6]
hs_with_a_case,[3.4],[9.2],[10.6],[7.6],[6.4],[3.4],[4.4],[4.4]
uv_with_a_case,[7.0],[25.8],[19.8],[8.6],[7.2],[6.8],[7.8],[5.0]
