,no_school,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,528538.7088584743,734951.6853862337,615682.4770739382,574250.7084387785,547771.9278637373,529108.0085659047,487815.51412832306
num_tested,0.0,0.0,0.0,0.0,4503.0,7588.2,12546.8
num_traced,0.0,0.0,0.0,0.0,0.0,1474.8,9249.4
test_pos,0.0,0.0,0.0,0.0,3661.4,5962.8,9249.4
school_days_lost,0.0,0.0,0.0,176696.8,153653.8,239666.0,542508.4
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,"[1110.2, 2421.0, 4703.0]","[1110.2, 3259.0, 7490.0]","[1110.2, 2755.2, 5799.0]","[1110.2, 2646.8, 5314.6]","[1110.2, 2521.8, 4932.4]","[1110.2, 2504.8, 4747.2]","[1110.2, 2377.4, 4145.8]"
student_cases,"[132.0, 254.8, 568.8]","[132.0, 595.6, 1424.4]","[132.0, 381.6, 884.0]","[132.0, 339.4, 697.8]","[132.0, 304.0, 660.0]","[132.0, 321.0, 612.2]","[132.0, 284.0, 534.6]"
teacher_cases,"[8.0, 19.2, 35.8]","[8.0, 38.8, 102.6]","[8.0, 30.8, 72.4]","[8.0, 22.8, 51.2]","[8.0, 21.2, 51.8]","[8.0, 24.6, 43.2]","[8.0, 21.8, 36.6]"
cases_in_pk,"[14.0, 19.4, 52.4]","[14.0, 42.6, 102.0]","[14.0, 25.2, 61.0]","[14.0, 28.8, 55.0]","[14.0, 22.0, 52.4]","[14.0, 24.0, 44.8]","[14.0, 20.6, 45.4]"
cases_in_es,"[30.2, 54.4, 117.6]","[30.2, 109.0, 255.4]","[30.2, 93.2, 203.4]","[30.2, 71.2, 155.4]","[30.2, 65.4, 155.0]","[30.2, 75.2, 144.6]","[30.2, 60.0, 121.8]"
cases_in_ms,"[16.6, 34.4, 71.4]","[16.6, 66.0, 157.4]","[16.6, 54.0, 124.2]","[16.6, 48.2, 106.0]","[16.6, 37.2, 92.0]","[16.6, 48.6, 90.2]","[16.6, 34.6, 68.8]"
cases_in_hs,"[31.8, 67.0, 147.0]","[31.8, 145.0, 344.0]","[31.8, 132.6, 306.4]","[31.8, 106.2, 203.2]","[31.8, 94.0, 186.2]","[31.8, 91.6, 167.4]","[31.8, 87.4, 151.2]"
cases_in_uv,"[47.4, 98.8, 216.2]","[47.4, 271.8, 668.2]","[47.4, 107.4, 261.4]","[47.4, 107.8, 229.4]","[47.4, 106.6, 226.2]","[47.4, 106.2, 208.4]","[47.4, 103.2, 184.0]"
pk_with_a_case,"[5.8, 6.4, 10.4]","[5.8, 9.0, 12.6]","[5.8, 8.0, 12.0]","[5.8, 8.8, 11.2]","[5.8, 8.0, 11.2]","[5.8, 7.8, 10.2]","[5.8, 9.2, 10.2]"
es_with_a_case,"[14.6, 21.2, 24.6]","[14.6, 24.6, 27.6]","[14.6, 23.2, 25.2]","[14.6, 22.8, 25.2]","[14.6, 20.2, 26.2]","[14.6, 22.4, 24.8]","[14.6, 20.2, 24.2]"
ms_with_a_case,"[8.4, 12.2, 14.8]","[8.4, 13.6, 14.8]","[8.4, 13.0, 15.2]","[8.4, 12.6, 14.2]","[8.4, 12.8, 14.8]","[8.4, 13.6, 14.6]","[8.4, 12.0, 13.6]"
hs_with_a_case,"[13.2, 16.6, 19.0]","[13.2, 18.4, 19.6]","[13.2, 18.4, 20.2]","[13.2, 17.8, 19.2]","[13.2, 17.2, 19.2]","[13.2, 18.2, 19.4]","[13.2, 18.4, 19.2]"
uv_with_a_case,"[38.0, 66.2, 112.6]","[38.0, 96.0, 157.4]","[38.0, 70.0, 120.6]","[38.0, 70.6, 109.8]","[38.0, 65.4, 107.6]","[38.0, 70.8, 107.6]","[38.0, 68.0, 95.0]"
