,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,381480.6688807422,448638.6688807422,423682.6688807422,401556.6688807422,391982.6688807422,391356.6688807422,377258.6688807422,367680.6688807422
num_tested,0.0,0.0,0.0,0.0,0.0,2947.6,4957.8,8942.4
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,824.4,5645.0
test_pos,0.0,0.0,0.0,0.0,0.0,2104.6,3328.2,5645.0
school_days_lost,0.0,0.0,0.0,0.0,110166.0,101832.2,152690.8,375086.6
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[2231.8],[3146.6],[2812.4],[2513.4],[2389.6],[2348.2],[2112.4],[2101.6]
student_cases,[284.4],[612.6],[481.6],[363.0],[334.6],[335.2],[285.8],[276.6]
teacher_cases,[18.2],[44.0],[34.6],[25.0],[25.6],[24.4],[19.8],[19.4]
cases_in_pk,[27.4],[42.0],[32.4],[27.6],[25.4],[27.2],[22.4],[19.8]
cases_in_es,[55.4],[111.8],[93.6],[82.6],[76.8],[84.6],[72.6],[61.0]
cases_in_ms,[37.4],[67.6],[60.0],[53.2],[48.0],[43.0],[40.6],[37.2]
cases_in_hs,[72.6],[152.2],[122.8],[107.0],[94.8],[93.0],[76.6],[78.2]
cases_in_uv,[109.8],[283.0],[207.4],[117.6],[115.2],[111.8],[93.4],[99.8]
pk_with_a_case,[9.8],[10.6],[10.0],[8.4],[9.2],[9.2],[8.0],[7.2]
es_with_a_case,[21.2],[24.4],[24.0],[23.8],[22.0],[23.4],[22.4],[21.4]
ms_with_a_case,[11.8],[14.8],[13.2],[13.2],[12.6],[12.4],[12.2],[12.4]
hs_with_a_case,[17.4],[18.8],[19.6],[18.0],[18.0],[18.0],[17.2],[17.0]
uv_with_a_case,[69.8],[107.8],[91.8],[73.6],[73.0],[73.2],[62.6],[67.4]
