,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,88472.02673130363,91452.61060085257,89096.06020810312,89055.66964390739,87705.07962758058,88414.31958223824,88245.29787351144,88765.84625509044
num_tested,0.0,0.0,0.0,0.0,0.0,847.0,1720.4,3415.4
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,12.6,80.0
test_pos,0.0,0.0,0.0,0.0,0.0,23.2,48.8,80.0
school_days_lost,0.0,0.0,0.0,0.0,45088.4,45003.4,46076.0,50667.4
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[36.2],[70.6],[43.2],[42.4],[21.4],[35.8],[32.8],[40.2]
student_cases,[3.4],[17.6],[8.8],[7.4],[2.6],[3.2],[3.8],[4.4]
teacher_cases,[0.6],[0.8],[0.0],[0.6],[0.2],[0.0],[0.6],[0.2]
cases_in_pk,[0.4],[1.6],[0.8],[0.4],[0.6],[0.8],[0.2],[0.2]
cases_in_es,[0.4],[2.0],[0.6],[2.6],[0.2],[0.2],[1.4],[1.2]
cases_in_ms,[1.0],[1.4],[0.8],[1.0],[0.6],[0.0],[0.8],[0.8]
cases_in_hs,[1.0],[4.4],[1.4],[1.2],[0.6],[0.8],[0.6],[0.8]
cases_in_uv,[1.2],[9.0],[5.2],[2.8],[0.8],[1.4],[1.4],[1.6]
pk_with_a_case,[0.4],[1.0],[0.6],[0.2],[0.6],[0.8],[0.2],[0.2]
es_with_a_case,[0.4],[1.2],[0.6],[2.0],[0.2],[0.2],[1.2],[1.0]
ms_with_a_case,[0.8],[1.2],[0.6],[0.8],[0.6],[0.0],[0.6],[0.4]
hs_with_a_case,[1.0],[2.8],[1.2],[1.2],[0.6],[0.8],[0.4],[0.8]
uv_with_a_case,[1.2],[4.2],[3.0],[2.8],[0.8],[1.4],[1.4],[1.6]
