,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,247188.0475555545,320390.43825059745,291974.2879832732,271184.54488231253,252784.1241338048,247841.41643279287,239634.22787634353,239069.38637932803
num_tested,0.0,0.0,0.0,0.0,0.0,1851.2,3368.8,6403.2
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,415.0,3091.2
test_pos,0.0,0.0,0.0,0.0,0.0,1021.6,1708.6,3091.2
school_days_lost,0.0,0.0,0.0,0.0,76504.4,70704.0,100895.6,231797.0
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[1392.0],[2330.4],[1864.6],[1676.6],[1460.2],[1395.0],[1295.8],[1295.8]
student_cases,[167.2],[486.8],[334.6],[246.0],[200.4],[189.4],[189.0],[164.4]
teacher_cases,[9.2],[37.6],[21.2],[18.0],[14.4],[13.4],[12.8],[12.0]
cases_in_pk,[15.8],[30.6],[28.4],[17.4],[13.4],[12.4],[16.0],[13.2]
cases_in_es,[40.8],[83.2],[62.4],[58.0],[44.8],[44.2],[45.6],[37.6]
cases_in_ms,[19.0],[49.2],[38.2],[32.2],[31.0],[25.0],[25.2],[21.6]
cases_in_hs,[39.6],[125.6],[74.2],[80.6],[56.4],[54.4],[53.0],[51.8]
cases_in_uv,[61.2],[235.8],[152.6],[75.8],[69.2],[66.8],[62.0],[52.2]
pk_with_a_case,[6.8],[9.8],[9.8],[7.8],[5.4],[6.6],[7.6],[7.4]
es_with_a_case,[18.0],[22.2],[20.8],[20.6],[19.0],[18.6],[19.8],[16.6]
ms_with_a_case,[10.0],[13.2],[11.8],[11.6],[11.4],[11.0],[10.0],[9.6]
hs_with_a_case,[13.6],[18.6],[16.8],[16.2],[16.0],[16.2],[15.6],[13.8]
uv_with_a_case,[46.4],[87.4],[69.4],[54.2],[52.2],[48.0],[48.0],[41.4]
