,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,84459.33000202906,84810.7382708821,84712.40374962278,84142.303294417,84222.96601880944,84216.45379885848,84218.08185384623,84233.91838872693
num_tested,0.0,0.0,0.0,0.0,0.0,846.0,1673.2,3343.4
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,0.8,4.4
test_pos,0.0,0.0,0.0,0.0,0.0,2.0,3.2,4.4
school_days_lost,0.0,0.0,0.0,0.0,44713.2,44704.2,44711.8,45046.4
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[6.6],[9.2],[7.6],[0.0],[0.6],[0.6],[0.6],[1.0]
student_cases,[0.8],[2.6],[2.0],[0.0],[0.0],[0.0],[0.0],[0.4]
teacher_cases,[0.0],[0.0],[0.2],[0.0],[0.0],[0.0],[0.0],[0.0]
cases_in_pk,[0.0],[0.2],[0.2],[0.0],[0.0],[0.0],[0.0],[0.0]
cases_in_es,[0.2],[0.8],[0.4],[0.0],[0.0],[0.0],[0.0],[0.0]
cases_in_ms,[0.2],[0.6],[0.2],[0.0],[0.0],[0.0],[0.0],[0.0]
cases_in_hs,[0.2],[0.2],[0.6],[0.0],[0.0],[0.0],[0.0],[0.2]
cases_in_uv,[0.2],[0.8],[0.8],[0.0],[0.0],[0.0],[0.0],[0.2]
pk_with_a_case,[0.0],[0.2],[0.2],[0.0],[0.0],[0.0],[0.0],[0.0]
es_with_a_case,[0.2],[0.4],[0.4],[0.0],[0.0],[0.0],[0.0],[0.0]
ms_with_a_case,[0.2],[0.4],[0.2],[0.0],[0.0],[0.0],[0.0],[0.0]
hs_with_a_case,[0.2],[0.2],[0.4],[0.0],[0.0],[0.0],[0.0],[0.2]
uv_with_a_case,[0.2],[0.6],[0.6],[0.0],[0.0],[0.0],[0.0],[0.2]
