,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,275922.67126684554,480744.87581078487,377868.4583849568,319011.57182682113,299931.22252683144,290403.2988761568,269211.5070480091,256571.56306917602
num_tested,0.0,0.0,0.0,0.0,0.0,2214.8,3720.8,6949.8
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,513.4,3631.6
test_pos,0.0,0.0,0.0,0.0,0.0,1395.4,2076.8,3631.6
school_days_lost,0.0,0.0,0.0,0.0,90941.2,80807.6,114493.4,266738.2
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[1819.2],[3942.8],[2768.8],[2266.2],[2178.2],[2005.0],[1771.4],[1656.4]
student_cases,[222.6],[974.6],[558.0],[351.4],[275.8],[267.2],[225.2],[224.8]
teacher_cases,[11.2],[64.0],[39.6],[26.2],[23.6],[19.0],[15.8],[15.4]
cases_in_pk,[19.8],[55.2],[34.4],[25.4],[17.4],[19.8],[19.6],[17.4]
cases_in_es,[47.6],[147.6],[85.6],[76.8],[67.8],[58.0],[51.6],[51.0]
cases_in_ms,[25.8],[89.2],[59.2],[44.0],[38.8],[37.4],[35.2],[30.8]
cases_in_hs,[58.8],[216.0],[139.2],[126.0],[80.4],[75.6],[59.8],[63.6]
cases_in_uv,[81.8],[530.6],[279.2],[105.4],[95.0],[95.4],[74.8],[77.4]
pk_with_a_case,[8.0],[11.8],[9.6],[9.8],[6.8],[7.4],[7.4],[7.4]
es_with_a_case,[19.0],[24.2],[23.0],[22.2],[20.2],[19.0],[19.6],[18.2]
ms_with_a_case,[9.6],[14.0],[13.8],[11.4],[11.8],[11.4],[11.4],[10.8]
hs_with_a_case,[17.6],[19.6],[19.0],[18.6],[17.4],[16.2],[18.2],[17.8]
uv_with_a_case,[56.4],[123.4],[94.0],[68.8],[63.2],[64.8],[54.6],[52.6]
