,no_school,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,311543.9772244123,455536.3568966772,379510.14529049053,341075.96429369634,334741.8037041764,312680.46152237663,291896.15908517496
num_tested,0.0,0.0,0.0,0.0,2675.0,4490.2,7760.6
num_traced,0.0,0.0,0.0,0.0,0.0,718.6,4444.4
test_pos,0.0,0.0,0.0,0.0,1840.6,2817.4,4444.4
school_days_lost,0.0,0.0,0.0,104748.0,95340.2,141002.4,310177.0
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,"[577.8, 1182.6, 2370.8]","[577.8, 1531.0, 3977.0]","[577.8, 1366.0, 3132.8]","[577.8, 1277.2, 2716.0]","[577.8, 1307.4, 2570.2]","[577.8, 1211.0, 2396.4]","[577.8, 1190.4, 2149.4]"
student_cases,"[63.4, 132.8, 274.8]","[63.4, 267.4, 783.2]","[63.4, 182.4, 451.8]","[63.4, 160.8, 354.6]","[63.4, 156.6, 315.2]","[63.4, 147.0, 300.6]","[63.4, 140.6, 258.8]"
teacher_cases,"[5.6, 8.6, 19.4]","[5.6, 18.8, 60.2]","[5.6, 13.4, 36.8]","[5.6, 11.0, 25.0]","[5.6, 11.0, 21.0]","[5.6, 9.6, 24.6]","[5.6, 8.2, 17.6]"
cases_in_pk,"[6.2, 11.0, 23.0]","[6.2, 21.0, 56.2]","[6.2, 13.4, 30.4]","[6.2, 11.6, 27.2]","[6.2, 13.4, 21.6]","[6.2, 13.8, 22.2]","[6.2, 10.6, 18.2]"
cases_in_es,"[12.0, 27.4, 62.6]","[12.0, 50.4, 132.2]","[12.0, 44.0, 100.8]","[12.0, 37.2, 79.6]","[12.0, 37.8, 73.6]","[12.0, 30.4, 69.2]","[12.0, 32.2, 59.6]"
cases_in_ms,"[11.6, 17.8, 38.6]","[11.6, 25.2, 89.2]","[11.6, 25.8, 79.2]","[11.6, 21.6, 46.8]","[11.6, 20.4, 43.0]","[11.6, 20.2, 45.0]","[11.6, 15.2, 37.2]"
cases_in_hs,"[16.6, 33.0, 64.8]","[16.6, 66.0, 185.4]","[16.6, 57.6, 158.6]","[16.6, 49.0, 104.2]","[16.6, 44.6, 92.2]","[16.6, 38.2, 92.0]","[16.6, 41.0, 75.8]"
cases_in_uv,"[22.6, 52.2, 105.2]","[22.6, 123.6, 380.4]","[22.6, 55.0, 119.6]","[22.6, 52.4, 121.8]","[22.6, 51.4, 105.8]","[22.6, 54.0, 96.8]","[22.6, 49.8, 85.6]"
pk_with_a_case,"[3.8, 5.2, 8.2]","[3.8, 8.0, 10.8]","[3.8, 6.4, 9.2]","[3.8, 5.4, 8.4]","[3.8, 6.2, 9.0]","[3.8, 6.0, 7.6]","[3.8, 5.2, 7.4]"
es_with_a_case,"[8.2, 15.6, 19.8]","[8.2, 18.0, 25.2]","[8.2, 18.6, 23.2]","[8.2, 17.2, 22.6]","[8.2, 15.6, 20.8]","[8.2, 14.6, 19.0]","[8.2, 15.6, 21.4]"
ms_with_a_case,"[7.0, 8.2, 12.2]","[7.0, 8.8, 13.8]","[7.0, 9.2, 13.4]","[7.0, 9.2, 12.4]","[7.0, 9.2, 9.8]","[7.0, 9.2, 11.6]","[7.0, 7.8, 11.4]"
hs_with_a_case,"[10.4, 13.8, 16.6]","[10.4, 15.0, 16.6]","[10.4, 13.8, 18.0]","[10.4, 15.4, 17.8]","[10.4, 14.8, 17.2]","[10.4, 13.6, 16.4]","[10.4, 13.4, 16.6]"
uv_with_a_case,"[19.6, 38.0, 69.4]","[19.6, 56.6, 109.8]","[19.6, 39.2, 71.6]","[19.6, 38.8, 71.2]","[19.6, 38.4, 66.0]","[19.6, 42.2, 62.6]","[19.6, 39.8, 59.0]"
