,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,78469.09773734007,82859.00673427341,81452.67668986645,79566.2453390758,79067.05138783599,78959.47866364627,79182.44146696679,78588.94142143734
num_tested,0.0,0.0,0.0,0.0,0.0,854.2,1741.2,3447.2
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,18.6,109.2
test_pos,0.0,0.0,0.0,0.0,0.0,38.4,74.0,109.2
school_days_lost,0.0,0.0,0.0,0.0,45455.2,45313.8,46827.8,53468.2
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[36.2],[101.4],[78.8],[62.6],[46.6],[42.2],[44.6],[35.4]
student_cases,[3.2],[21.0],[14.6],[10.0],[6.0],[6.0],[7.0],[4.4]
teacher_cases,[0.0],[1.4],[0.6],[0.6],[0.2],[0.8],[0.0],[0.2]
cases_in_pk,[0.4],[0.6],[0.4],[0.6],[0.2],[0.2],[0.6],[0.4]
cases_in_es,[1.6],[3.0],[1.8],[2.4],[1.8],[1.8],[0.8],[1.2]
cases_in_ms,[0.2],[3.2],[1.8],[1.0],[0.4],[0.8],[1.4],[0.6]
cases_in_hs,[0.4],[6.2],[4.4],[3.4],[2.0],[1.4],[2.0],[0.6]
cases_in_uv,[0.6],[9.4],[6.8],[3.2],[1.8],[2.6],[2.2],[1.8]
pk_with_a_case,[0.4],[0.6],[0.4],[0.4],[0.2],[0.2],[0.6],[0.4]
es_with_a_case,[1.4],[2.2],[1.6],[2.4],[1.6],[1.6],[0.8],[1.2]
ms_with_a_case,[0.2],[1.8],[1.2],[1.0],[0.4],[0.8],[1.2],[0.6]
hs_with_a_case,[0.4],[3.4],[3.0],[1.8],[1.6],[1.4],[1.4],[0.4]
uv_with_a_case,[0.6],[6.6],[5.2],[3.2],[1.8],[2.6],[2.2],[1.6]
