,no_school,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,82731.6676500425,82761.26864981953,82733.14770003135,82823.4307493513,82805.67014948507,82805.67014948507,82792.34969958541
num_tested,0.0,0.0,0.0,0.0,844.4,1674.4,3338.8
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,1.2
test_pos,0.0,0.0,0.0,0.0,0.6,0.6,1.2
school_days_lost,0.0,0.0,0.0,44623.6,44595.0,44595.0,44665.0
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,"[2.6, 0.6, 0.6]","[2.6, 0.6, 0.8]","[2.6, 0.6, 0.6]","[2.6, 1.0, 1.8]","[2.6, 1.0, 1.4]","[2.6, 1.0, 1.4]","[2.6, 1.0, 0.6]"
student_cases,"[0.2, 0.0, 0.6]","[0.2, 0.0, 0.0]","[0.2, 0.0, 0.6]","[0.2, 0.0, 0.0]","[0.2, 0.0, 0.0]","[0.2, 0.0, 0.0]","[0.2, 0.0, 0.0]"
teacher_cases,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
cases_in_pk,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
cases_in_es,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
cases_in_ms,"[0.2, 0.0, 0.0]","[0.2, 0.0, 0.0]","[0.2, 0.0, 0.0]","[0.2, 0.0, 0.0]","[0.2, 0.0, 0.0]","[0.2, 0.0, 0.0]","[0.2, 0.0, 0.0]"
cases_in_hs,"[0.0, 0.0, 0.4]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.4]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
cases_in_uv,"[0.0, 0.0, 0.2]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.2]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
pk_with_a_case,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
es_with_a_case,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
ms_with_a_case,"[0.2, 0.0, 0.0]","[0.2, 0.0, 0.0]","[0.2, 0.0, 0.0]","[0.2, 0.0, 0.0]","[0.2, 0.0, 0.0]","[0.2, 0.0, 0.0]","[0.2, 0.0, 0.0]"
hs_with_a_case,"[0.0, 0.0, 0.2]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.2]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
uv_with_a_case,"[0.0, 0.0, 0.2]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.2]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
