,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,83814.47222188639,84276.09981340924,84004.06662545833,83841.40913168347,84006.1386954427,83914.81961113054,83888.1787113312,83876.78232641707
num_tested,0.0,0.0,0.0,0.0,0.0,835.4,1691.8,3346.4
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,0.6,7.0
test_pos,0.0,0.0,0.0,0.0,0.0,1.2,3.4,7.0
school_days_lost,0.0,0.0,0.0,0.0,44590.0,44581.6,44526.0,45106.0
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[0.6],[6.6],[2.4],[0.2],[1.0],[1.0],[0.6],[0.8]
student_cases,[0.2],[1.2],[0.4],[0.0],[0.2],[0.0],[0.0],[0.0]
teacher_cases,[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
cases_in_pk,[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
cases_in_es,[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
cases_in_ms,[0.2],[0.2],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
cases_in_hs,[0.0],[0.8],[0.2],[0.0],[0.0],[0.0],[0.0],[0.0]
cases_in_uv,[0.0],[0.2],[0.2],[0.0],[0.2],[0.0],[0.0],[0.0]
pk_with_a_case,[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
es_with_a_case,[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
ms_with_a_case,[0.2],[0.2],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
hs_with_a_case,[0.0],[0.6],[0.2],[0.0],[0.0],[0.0],[0.0],[0.0]
uv_with_a_case,[0.0],[0.2],[0.2],[0.0],[0.2],[0.0],[0.0],[0.0]
