,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,210111.79116539628,278421.87489982124,248814.19833916557,227574.84099305203,219594.8774281608,216825.85947291792,211370.34743818344,205476.4942740893
num_tested,0.0,0.0,0.0,0.0,0.0,1781.6,3184.6,5910.6
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,384.6,2595.0
test_pos,0.0,0.0,0.0,0.0,0.0,929.6,1519.2,2595.0
school_days_lost,0.0,0.0,0.0,0.0,71086.4,68410.8,93560.0,207611.4
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[1289.6],[2154.6],[1804.4],[1545.8],[1391.4],[1399.4],[1279.4],[1248.6]
student_cases,[158.2],[417.2],[300.8],[221.6],[174.0],[166.6],[164.0],[163.2]
teacher_cases,[11.2],[29.0],[18.0],[13.6],[12.6],[15.2],[12.4],[11.0]
cases_in_pk,[13.0],[22.6],[21.8],[15.0],[14.2],[14.2],[10.2],[12.2]
cases_in_es,[32.8],[74.4],[50.6],[49.0],[40.2],[36.2],[37.6],[32.4]
cases_in_ms,[22.0],[42.2],[38.6],[29.4],[24.4],[23.4],[21.6],[23.6]
cases_in_hs,[42.0],[99.8],[76.6],[71.8],[44.6],[50.6],[52.8],[46.0]
cases_in_uv,[59.6],[207.2],[131.2],[70.0],[63.2],[57.4],[54.2],[60.0]
pk_with_a_case,[6.2],[7.8],[6.8],[7.8],[6.6],[6.2],[5.8],[6.0]
es_with_a_case,[15.8],[21.8],[19.2],[18.8],[17.4],[16.2],[17.4],[16.2]
ms_with_a_case,[9.4],[11.6],[12.2],[11.6],[11.6],[10.6],[9.2],[9.8]
hs_with_a_case,[15.8],[16.8],[16.6],[15.4],[16.0],[14.0],[16.0],[14.8]
uv_with_a_case,[43.4],[81.8],[66.6],[49.0],[46.8],[43.2],[40.8],[46.4]
