,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,290676.42368711904,350020.5630707048,336424.01435650804,304762.6692445701,293686.2738013364,300471.1649550462,291443.72624557174,279355.4718160131
num_tested,0.0,0.0,0.0,0.0,0.0,2390.0,4269.4,7635.4
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,663.6,4330.2
test_pos,0.0,0.0,0.0,0.0,0.0,1554.0,2596.0,4330.2
school_days_lost,0.0,0.0,0.0,0.0,89644.8,86157.0,130409.2,295660.0
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[2053.6],[2905.6],[2615.4],[2284.0],[2119.8],[2192.0],[2056.6],[1915.6]
student_cases,[245.2],[543.4],[442.2],[347.8],[275.0],[284.6],[267.6],[255.6]
teacher_cases,[14.6],[40.0],[30.0],[27.6],[21.0],[21.4],[22.0],[19.8]
cases_in_pk,[15.8],[32.6],[32.8],[28.2],[23.0],[22.2],[19.4],[22.6]
cases_in_es,[54.8],[98.2],[82.6],[80.6],[60.4],[65.2],[59.4],[58.2]
cases_in_ms,[33.2],[56.0],[51.2],[50.8],[37.2],[39.2],[32.4],[34.8]
cases_in_hs,[61.8],[136.8],[116.4],[104.6],[77.4],[75.6],[78.8],[70.4]
cases_in_uv,[94.2],[259.8],[189.2],[111.2],[98.0],[103.8],[99.6],[89.4]
pk_with_a_case,[6.8],[9.2],[9.2],[8.8],[9.0],[9.2],[8.2],[9.4]
es_with_a_case,[20.4],[23.0],[23.4],[21.4],[19.4],[22.2],[21.0],[21.2]
ms_with_a_case,[11.8],[13.8],[13.2],[13.4],[12.8],[13.4],[11.4],[10.8]
hs_with_a_case,[17.6],[18.0],[18.6],[17.6],[17.2],[17.0],[17.8],[18.2]
uv_with_a_case,[63.2],[94.2],[93.0],[71.8],[65.6],[70.4],[63.8],[63.4]
