,no_school,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,83749.35002237691,84622.72752079825,84190.5529240536,83887.73469633455,83887.29068133788,83868.93806147612,83892.32285129998
num_tested,0.0,0.0,0.0,0.0,854.2,1686.0,3349.6
num_traced,0.0,0.0,0.0,0.0,0.0,1.6,11.4
test_pos,0.0,0.0,0.0,0.0,5.6,7.0,11.4
school_days_lost,0.0,0.0,0.0,44643.2,44652.4,44823.6,45320.0
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,"[18.6, 7.0, 1.4]","[18.6, 12.6, 15.6]","[18.6, 16.0, 9.2]","[18.6, 10.2, 3.6]","[18.6, 10.0, 4.2]","[18.6, 8.6, 3.4]","[18.6, 11.2, 4.6]"
student_cases,"[2.6, 0.6, 0.4]","[2.6, 1.6, 6.0]","[2.6, 3.0, 2.2]","[2.6, 1.2, 0.4]","[2.6, 1.0, 0.8]","[2.6, 0.8, 0.6]","[2.6, 0.4, 0.6]"
teacher_cases,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.2]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.2, 0.0]","[0.0, 0.0, 0.4]"
cases_in_pk,"[0.2, 0.0, 0.0]","[0.2, 0.0, 0.2]","[0.2, 0.0, 0.2]","[0.2, 0.0, 0.0]","[0.2, 0.0, 0.0]","[0.2, 0.0, 0.0]","[0.2, 0.2, 0.2]"
cases_in_es,"[0.0, 0.0, 0.4]","[0.0, 0.2, 0.8]","[0.0, 0.4, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.2]","[0.0, 0.2, 0.0]","[0.0, 0.0, 0.0]"
cases_in_ms,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.2, 0.6]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.2]","[0.0, 0.0, 0.4]"
cases_in_hs,"[0.8, 0.4, 0.0]","[0.8, 0.4, 1.4]","[0.8, 2.0, 0.2]","[0.8, 0.4, 0.0]","[0.8, 0.2, 0.2]","[0.8, 0.2, 0.0]","[0.8, 0.0, 0.0]"
cases_in_uv,"[1.6, 0.2, 0.0]","[1.6, 1.0, 3.8]","[1.6, 0.4, 0.2]","[1.6, 0.8, 0.4]","[1.6, 0.8, 0.4]","[1.6, 0.6, 0.4]","[1.6, 0.2, 0.4]"
pk_with_a_case,"[0.2, 0.0, 0.0]","[0.2, 0.0, 0.2]","[0.2, 0.0, 0.2]","[0.2, 0.0, 0.0]","[0.2, 0.0, 0.0]","[0.2, 0.0, 0.0]","[0.2, 0.2, 0.2]"
es_with_a_case,"[0.0, 0.0, 0.4]","[0.0, 0.2, 0.6]","[0.0, 0.4, 0.8]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.2]","[0.0, 0.2, 0.0]","[0.0, 0.0, 0.0]"
ms_with_a_case,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.2, 0.2]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.2]","[0.0, 0.0, 0.2]"
hs_with_a_case,"[0.8, 0.4, 0.0]","[0.8, 0.4, 0.8]","[0.8, 0.8, 0.2]","[0.8, 0.2, 0.0]","[0.8, 0.2, 0.2]","[0.8, 0.2, 0.0]","[0.8, 0.0, 0.0]"
uv_with_a_case,"[1.6, 0.2, 0.0]","[1.6, 1.0, 1.4]","[1.6, 0.4, 0.2]","[1.6, 0.8, 0.4]","[1.6, 0.8, 0.4]","[1.6, 0.6, 0.4]","[1.6, 0.2, 0.4]"
