,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,356813.3844316626,610217.0073187639,518156.48282771744,436021.3980138067,385103.11106130254,362871.3543781977,343947.50464552187,318241.44453859224
num_tested,0.0,0.0,0.0,0.0,0.0,2876.6,4843.6,8388.8
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,790.6,5080.8
test_pos,0.0,0.0,0.0,0.0,0.0,2034.2,3162.2,5080.8
school_days_lost,0.0,0.0,0.0,0.0,116944.8,101319.6,151005.2,339660.4
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[2762.4],[5547.4],[4422.2],[3562.6],[3124.4],[2755.0],[2589.8],[2270.2]
student_cases,[321.2],[1284.6],[893.8],[563.0],[404.8],[370.6],[343.8],[291.6]
teacher_cases,[20.0],[85.6],[64.0],[45.4],[29.8],[31.6],[26.2],[17.0]
cases_in_pk,[26.0],[79.2],[58.8],[38.6],[34.4],[25.8],[26.2],[24.6]
cases_in_es,[71.8],[208.8],[150.4],[130.0],[89.0],[92.8],[75.0],[67.2]
cases_in_ms,[43.6],[123.0],[86.8],[86.6],[54.4],[55.0],[56.6],[39.6]
cases_in_hs,[78.8],[302.4],[218.0],[195.8],[119.6],[106.6],[103.2],[74.4]
cases_in_uv,[121.0],[656.8],[443.8],[157.4],[137.2],[122.0],[109.0],[102.8]
pk_with_a_case,[8.0],[12.6],[11.6],[10.2],[10.6],[9.4],[8.8],[8.2]
es_with_a_case,[21.6],[26.2],[25.0],[25.2],[22.8],[22.8],[22.0],[20.8]
ms_with_a_case,[12.0],[14.2],[14.4],[14.2],[12.4],[12.8],[13.0],[12.2]
hs_with_a_case,[17.6],[19.2],[19.2],[18.8],[17.4],[18.2],[17.4],[16.4]
uv_with_a_case,[75.4],[138.6],[127.4],[87.0],[78.2],[76.8],[69.0],[69.4]
