,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,85021.30498279593,88261.62282488841,87093.87818418437,85617.46911830538,86409.73987733762,86505.35110661745,85676.37510786166,85610.51288335779
num_tested,0.0,0.0,0.0,0.0,0.0,834.0,1682.0,3383.8
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,5.8,45.8
test_pos,0.0,0.0,0.0,0.0,0.0,20.8,27.8,45.8
school_days_lost,0.0,0.0,0.0,0.0,45105.2,44999.0,45362.6,47961.2
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[3.8],[43.0],[38.8],[9.6],[24.0],[23.2],[13.4],[12.2]
student_cases,[0.4],[14.2],[8.8],[2.0],[2.6],[3.2],[2.0],[2.4]
teacher_cases,[0.0],[1.2],[0.4],[0.0],[0.2],[0.4],[0.0],[0.6]
cases_in_pk,[0.0],[0.0],[0.0],[0.0],[0.2],[0.8],[0.2],[0.2]
cases_in_es,[0.4],[2.4],[2.6],[0.0],[0.4],[0.6],[0.2],[0.2]
cases_in_ms,[0.0],[1.2],[0.2],[0.6],[0.2],[0.2],[0.4],[0.2]
cases_in_hs,[0.0],[3.4],[1.4],[0.6],[1.2],[0.2],[0.6],[1.6]
cases_in_uv,[0.0],[8.4],[5.0],[0.8],[0.8],[1.8],[0.6],[0.8]
pk_with_a_case,[0.0],[0.0],[0.0],[0.0],[0.2],[0.8],[0.2],[0.2]
es_with_a_case,[0.4],[2.0],[2.6],[0.0],[0.4],[0.6],[0.2],[0.2]
ms_with_a_case,[0.0],[1.0],[0.2],[0.6],[0.2],[0.2],[0.4],[0.2]
hs_with_a_case,[0.0],[2.4],[1.2],[0.4],[1.2],[0.2],[0.6],[1.0]
uv_with_a_case,[0.0],[4.4],[3.8],[0.8],[0.8],[1.6],[0.6],[0.8]
