,no_school,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,91972.50079142419,99990.11936761109,92929.04229871908,92005.84631767297,91396.06572226611,90148.56118766284,90844.73230091899
num_tested,0.0,0.0,0.0,0.0,891.2,1762.8,3454.0
num_traced,0.0,0.0,0.0,0.0,0.0,21.4,117.0
test_pos,0.0,0.0,0.0,0.0,56.2,81.2,117.0
school_days_lost,0.0,0.0,0.0,46177.6,45683.6,47182.4,53908.6
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[77.4],[144.6],[89.8],[77.6],[68.4],[55.2],[54.6]
student_cases,[10.8],[37.2],[11.4],[13.0],[6.8],[9.6],[5.2]
teacher_cases,[0.8],[3.2],[0.6],[1.0],[0.4],[0.6],[1.2]
cases_in_pk,[1.6],[2.6],[0.2],[0.2],[0.0],[0.4],[0.6]
cases_in_es,[1.8],[6.0],[2.6],[2.8],[1.4],[2.4],[1.8]
cases_in_ms,[1.8],[3.4],[0.4],[2.6],[0.8],[2.2],[0.8]
cases_in_hs,[2.6],[6.4],[3.6],[3.8],[2.6],[2.4],[1.4]
cases_in_uv,[3.8],[22.0],[5.2],[4.6],[2.4],[2.8],[1.8]
pk_with_a_case,[1.6],[1.4],[0.2],[0.2],[0.0],[0.4],[0.6]
es_with_a_case,[1.6],[4.4],[2.2],[2.4],[1.2],[2.4],[1.6]
ms_with_a_case,[1.2],[2.6],[0.4],[2.4],[0.8],[1.8],[0.8]
hs_with_a_case,[2.6],[4.4],[2.6],[3.0],[2.2],[1.8],[1.4]
uv_with_a_case,[3.4],[13.8],[5.0],[4.6],[2.4],[2.8],[1.8]
