,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,93575.29136357577,146258.59639050244,123575.93545601466,102029.59242089382,98211.02394726643,98685.12265039126,93327.00572865977,91134.86268713333
num_tested,0.0,0.0,0.0,0.0,0.0,1061.6,1944.2,3865.4
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,72.8,531.4
test_pos,0.0,0.0,0.0,0.0,0.0,211.6,279.0,531.4
school_days_lost,0.0,0.0,0.0,0.0,49523.6,48892.2,54805.6,80818.2
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[254.2],[700.0],[567.0],[321.8],[291.0],[296.8],[251.8],[227.8]
student_cases,[33.6],[207.6],[123.6],[56.2],[39.2],[38.8],[35.0],[32.2]
teacher_cases,[1.4],[14.2],[8.0],[4.4],[3.2],[3.6],[1.6],[1.6]
cases_in_pk,[2.4],[11.0],[8.8],[2.8],[2.8],[4.4],[3.0],[1.8]
cases_in_es,[8.4],[25.0],[19.8],[12.6],[10.6],[8.6],[9.0],[9.2]
cases_in_ms,[3.2],[14.8],[10.8],[9.4],[5.8],[4.0],[5.2],[3.6]
cases_in_hs,[8.0],[46.2],[30.4],[19.6],[10.6],[14.4],[9.0],[9.6]
cases_in_uv,[13.0],[124.8],[61.8],[16.2],[12.6],[11.0],[10.4],[9.6]
pk_with_a_case,[1.8],[4.6],[5.4],[1.6],[2.0],[2.8],[2.4],[1.6]
es_with_a_case,[6.6],[11.8],[10.8],[8.0],[7.0],[6.0],[5.4],[6.8]
ms_with_a_case,[2.6],[7.0],[5.0],[6.0],[4.0],[3.0],[4.2],[3.2]
hs_with_a_case,[5.0],[11.8],[10.6],[8.8],[6.2],[8.4],[5.8],[6.8]
uv_with_a_case,[11.8],[43.0],[33.6],[14.6],[11.2],[11.0],[10.0],[9.0]
