,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,163099.41188637275,210592.30361239487,194252.93473515645,179118.15581455143,166086.24103598442,169544.4176525523,170474.00060826572,161356.07059311843
num_tested,0.0,0.0,0.0,0.0,0.0,1319.6,2537.4,4739.4
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,202.4,1415.8
test_pos,0.0,0.0,0.0,0.0,0.0,479.2,861.0,1415.8
school_days_lost,0.0,0.0,0.0,0.0,57778.0,55054.0,73749.6,138634.0
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[612.4],[1154.8],[986.0],[808.8],[641.6],[640.2],[671.2],[589.8]
student_cases,[75.4],[250.6],[182.6],[127.0],[80.8],[83.4],[85.4],[81.6]
teacher_cases,[4.2],[18.8],[11.0],[10.4],[5.2],[6.4],[5.8],[6.4]
cases_in_pk,[6.2],[18.0],[11.6],[9.8],[6.2],[5.4],[6.4],[7.0]
cases_in_es,[18.8],[40.0],[29.4],[30.6],[17.8],[17.6],[16.8],[16.4]
cases_in_ms,[9.0],[24.8],[19.0],[17.8],[10.8],[14.8],[11.6],[11.6]
cases_in_hs,[17.8],[63.2],[48.6],[45.0],[21.8],[25.0],[26.2],[24.4]
cases_in_uv,[27.8],[123.4],[85.0],[34.2],[29.4],[27.0],[30.2],[28.6]
pk_with_a_case,[4.4],[6.6],[6.0],[5.8],[4.2],[3.8],[4.0],[4.6]
es_with_a_case,[11.4],[17.8],[15.6],[15.4],[11.8],[10.8],[10.8],[10.2]
ms_with_a_case,[5.8],[9.2],[9.0],[9.2],[5.6],[9.2],[6.6],[6.2]
hs_with_a_case,[10.0],[15.0],[14.4],[13.0],[10.8],[11.8],[11.6],[11.6]
uv_with_a_case,[24.0],[61.4],[48.4],[28.4],[25.4],[23.6],[25.8],[25.0]
