,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,99800.0314155853,168588.06976440095,125343.95511636705,107151.93933736577,106586.66035781079,107828.1106907642,102461.55116185296,100735.58327420328
num_tested,0.0,0.0,0.0,0.0,0.0,1092.6,1996.4,3983.8
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,78.8,651.0
test_pos,0.0,0.0,0.0,0.0,0.0,249.8,333.6,651.0
school_days_lost,0.0,0.0,0.0,0.0,50895.6,49927.6,56373.2,89453.6
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[282.2],[873.4],[518.4],[344.2],[350.2],[347.8],[313.4],[290.4]
student_cases,[36.0],[234.0],[108.2],[51.4],[46.2],[44.6],[44.6],[40.2]
teacher_cases,[1.4],[17.6],[7.2],[5.0],[3.2],[2.6],[3.2],[2.0]
cases_in_pk,[2.8],[11.8],[7.6],[3.6],[2.2],[2.6],[4.4],[3.0]
cases_in_es,[9.6],[38.8],[16.4],[14.0],[10.4],[10.8],[12.4],[9.0]
cases_in_ms,[5.4],[19.8],[11.2],[7.8],[7.6],[6.2],[5.8],[6.2]
cases_in_hs,[7.4],[51.4],[27.0],[17.6],[14.2],[13.4],[10.8],[11.4]
cases_in_uv,[12.2],[129.8],[53.2],[13.4],[15.0],[14.2],[14.4],[12.6]
pk_with_a_case,[1.8],[5.6],[4.4],[2.6],[1.6],[2.2],[3.0],[2.2]
es_with_a_case,[8.0],[16.8],[11.2],[9.2],[7.2],[7.4],[9.4],[7.0]
ms_with_a_case,[4.4],[8.6],[6.6],[5.0],[5.0],[4.6],[4.6],[4.0]
hs_with_a_case,[4.8],[14.2],[10.2],[9.0],[8.0],[9.0],[7.2],[6.6]
uv_with_a_case,[11.0],[50.0],[27.4],[12.6],[14.6],[12.8],[13.0],[11.8]
