,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,146751.13099872303,190633.52660792024,179923.88257223106,161730.9455725485,154608.41891748476,151788.8924433655,150293.98498475907,149299.00396534865
num_tested,0.0,0.0,0.0,0.0,0.0,1203.4,2271.2,4433.4
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,149.4,1106.0
test_pos,0.0,0.0,0.0,0.0,0.0,379.6,603.8,1106.0
school_days_lost,0.0,0.0,0.0,0.0,56092.4,53720.8,65971.8,119636.0
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[449.4],[947.8],[871.2],[679.6],[558.4],[539.4],[501.4],[509.6]
student_cases,[55.6],[182.2],[153.0],[91.2],[71.8],[68.0],[63.6],[68.0]
teacher_cases,[4.2],[14.6],[12.0],[7.0],[5.8],[4.4],[5.4],[3.2]
cases_in_pk,[5.6],[9.8],[10.8],[8.2],[5.0],[5.8],[5.6],[6.6]
cases_in_es,[10.2],[30.0],[32.4],[21.2],[16.8],[12.6],[13.2],[13.8]
cases_in_ms,[8.4],[20.4],[19.8],[11.4],[11.2],[9.8],[8.6],[7.6]
cases_in_hs,[14.6],[46.2],[35.6],[32.0],[23.8],[20.8],[20.0],[19.6]
cases_in_uv,[21.0],[90.4],[66.4],[25.4],[20.8],[23.4],[21.6],[23.6]
pk_with_a_case,[3.6],[5.4],[5.8],[5.2],[3.8],[3.8],[3.6],[3.8]
es_with_a_case,[7.4],[14.2],[13.4],[12.2],[10.6],[8.6],[8.0],[9.4]
ms_with_a_case,[5.4],[9.8],[9.0],[6.8],[6.6],[6.2],[5.8],[5.0]
hs_with_a_case,[9.0],[13.4],[11.6],[11.2],[10.6],[10.0],[10.0],[10.4]
uv_with_a_case,[18.6],[46.0],[38.0],[22.6],[19.6],[20.2],[20.0],[20.2]
