,no_school,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,83576.18417368126,84020.05116533783,83718.41697760989,84220.0059188317,83651.22270811601,83677.86360791532,83542.14302393764
num_tested,0.0,0.0,0.0,0.0,830.2,1687.6,3347.2
num_traced,0.0,0.0,0.0,0.0,0.0,1.6,10.2
test_pos,0.0,0.0,0.0,0.0,3.2,7.6,10.2
school_days_lost,0.0,0.0,0.0,44889.6,44694.2,44837.4,45622.6
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[0.6],[10.4],[1.8],[14.8],[1.8],[1.4],[0.0]
student_cases,[0.0],[3.0],[0.6],[2.0],[0.4],[0.4],[0.0]
teacher_cases,[0.0],[0.4],[0.0],[0.0],[0.0],[0.0],[0.0]
cases_in_pk,[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
cases_in_es,[0.0],[0.4],[0.2],[0.4],[0.0],[0.0],[0.0]
cases_in_ms,[0.0],[0.4],[0.0],[0.0],[0.0],[0.0],[0.0]
cases_in_hs,[0.0],[0.6],[0.2],[0.8],[0.2],[0.2],[0.0]
cases_in_uv,[0.0],[2.0],[0.2],[0.8],[0.2],[0.2],[0.0]
pk_with_a_case,[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
es_with_a_case,[0.0],[0.4],[0.2],[0.4],[0.0],[0.0],[0.0]
ms_with_a_case,[0.0],[0.4],[0.0],[0.0],[0.0],[0.0],[0.0]
hs_with_a_case,[0.0],[0.6],[0.2],[0.6],[0.2],[0.2],[0.0]
uv_with_a_case,[0.0],[0.6],[0.2],[0.8],[0.2],[0.2],[0.0]
