,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,85374.6077156347,86203.06569689445,85992.5877879799,85399.13214395,85244.95533661133,85418.66880380281,85584.59720805296,85340.10775039459
num_tested,0.0,0.0,0.0,0.0,0.0,831.2,1710.4,3368.0
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,3.8,29.4
test_pos,0.0,0.0,0.0,0.0,0.0,8.0,14.6,29.4
school_days_lost,0.0,0.0,0.0,0.0,44604.0,44744.8,45147.4,46502.2
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[4.0],[16.8],[9.6],[7.2],[3.4],[4.8],[6.6],[2.6]
student_cases,[0.4],[5.4],[3.6],[1.0],[0.6],[0.6],[0.4],[0.2]
teacher_cases,[0.0],[0.4],[0.2],[0.0],[0.0],[0.2],[0.0],[0.0]
cases_in_pk,[0.0],[0.0],[0.4],[0.2],[0.0],[0.0],[0.0],[0.0]
cases_in_es,[0.0],[1.4],[0.6],[0.4],[0.2],[0.2],[0.2],[0.2]
cases_in_ms,[0.0],[0.4],[0.0],[0.0],[0.0],[0.2],[0.0],[0.0]
cases_in_hs,[0.0],[0.8],[0.2],[0.2],[0.0],[0.4],[0.2],[0.0]
cases_in_uv,[0.4],[3.2],[2.6],[0.2],[0.4],[0.0],[0.0],[0.0]
pk_with_a_case,[0.0],[0.0],[0.4],[0.2],[0.0],[0.0],[0.0],[0.0]
es_with_a_case,[0.0],[1.0],[0.2],[0.4],[0.2],[0.2],[0.2],[0.2]
ms_with_a_case,[0.0],[0.4],[0.0],[0.0],[0.0],[0.2],[0.0],[0.0]
hs_with_a_case,[0.0],[0.8],[0.2],[0.2],[0.0],[0.2],[0.2],[0.0]
uv_with_a_case,[0.4],[1.2],[2.0],[0.2],[0.4],[0.0],[0.0],[0.0]
