,no_school,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,82637.99184798363,90469.39422061337,83693.7008633498,82704.13051157643,84280.38215956702,81767.30828517837,81642.7838512527
num_tested,0.0,0.0,0.0,0.0,944.2,1783.2,3565.2
num_traced,0.0,0.0,0.0,0.0,0.0,28.4,229.0
test_pos,0.0,0.0,0.0,0.0,99.4,111.2,229.0
school_days_lost,0.0,0.0,0.0,47222.0,46614.0,48441.0,61795.0
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[111.6],[180.2],[120.2],[101.8],[130.6],[84.4],[94.6]
student_cases,[15.8],[46.0],[22.2],[17.4],[18.2],[11.0],[16.6]
teacher_cases,[1.4],[3.8],[0.4],[1.4],[1.2],[0.2],[1.2]
cases_in_pk,[1.6],[2.6],[0.6],[1.2],[1.6],[2.2],[0.6]
cases_in_es,[4.4],[6.2],[6.2],[3.4],[4.6],[1.0],[4.2]
cases_in_ms,[2.0],[5.4],[2.4],[3.6],[1.8],[1.4],[2.4]
cases_in_hs,[4.4],[9.0],[9.4],[5.2],[5.8],[3.4],[6.0]
cases_in_uv,[4.8],[26.6],[4.0],[5.4],[5.6],[3.2],[4.6]
pk_with_a_case,[1.2],[1.6],[0.6],[1.2],[1.4],[1.8],[0.6]
es_with_a_case,[4.0],[4.2],[5.6],[2.6],[3.4],[1.0],[2.8]
ms_with_a_case,[2.0],[3.6],[2.4],[2.6],[1.6],[1.4],[2.4]
hs_with_a_case,[3.4],[4.6],[5.6],[3.6],[4.0],[3.0],[4.2]
uv_with_a_case,[4.8],[14.6],[4.0],[5.2],[5.4],[3.2],[4.4]
