,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,85055.21292804055,85330.62062996604,85353.08778879681,84933.59722045658,85036.75670467954,85049.60353858277,84999.93306095693,84858.0554690256
num_tested,0.0,0.0,0.0,0.0,0.0,855.6,1663.6,3350.0
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.2
test_pos,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.2
school_days_lost,0.0,0.0,0.0,0.0,44690.8,44750.0,44857.4,45679.2
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[3.2],[7.4],[5.0],[1.2],[2.6],[1.0],[2.4],[0.4]
student_cases,[0.0],[1.2],[1.2],[0.2],[0.0],[0.0],[1.4],[0.0]
teacher_cases,[0.0],[0.0],[0.0],[0.0],[0.0],[0.2],[0.0],[0.0]
cases_in_pk,[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
cases_in_es,[0.0],[0.0],[0.2],[0.2],[0.0],[0.0],[1.4],[0.0]
cases_in_ms,[0.0],[0.0],[0.4],[0.0],[0.0],[0.2],[0.0],[0.0]
cases_in_hs,[0.0],[0.2],[0.2],[0.0],[0.0],[0.0],[0.0],[0.0]
cases_in_uv,[0.0],[1.0],[0.4],[0.0],[0.0],[0.0],[0.0],[0.0]
pk_with_a_case,[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
es_with_a_case,[0.0],[0.0],[0.2],[0.2],[0.0],[0.0],[0.2],[0.0]
ms_with_a_case,[0.0],[0.0],[0.4],[0.0],[0.0],[0.2],[0.0],[0.0]
hs_with_a_case,[0.0],[0.2],[0.2],[0.0],[0.0],[0.0],[0.0],[0.0]
uv_with_a_case,[0.0],[0.4],[0.4],[0.0],[0.0],[0.0],[0.0],[0.0]
