,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,137014.50130130997,192836.46083452267,160179.88830407843,149957.57167224522,141077.52768763955,138345.32270246168,132987.29232301092,129947.77192855757
num_tested,0.0,0.0,0.0,0.0,0.0,1251.6,2248.4,4402.4
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,146.6,1074.2
test_pos,0.0,0.0,0.0,0.0,0.0,416.0,599.6,1074.2
school_days_lost,0.0,0.0,0.0,0.0,56383.6,54118.8,65757.8,117168.6
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[595.0],[1133.2],[824.2],[722.0],[607.8],[591.8],[508.2],[476.8]
student_cases,[70.2],[248.8],[150.8],[106.8],[75.6],[82.2],[63.8],[62.2]
teacher_cases,[4.6],[18.2],[10.0],[8.2],[4.8],[7.0],[4.6],[4.8]
cases_in_pk,[6.8],[14.8],[10.2],[6.6],[4.6],[5.4],[4.6],[6.6]
cases_in_es,[14.8],[44.0],[29.4],[26.4],[15.2],[21.4],[12.8],[15.0]
cases_in_ms,[8.8],[24.6],[18.4],[13.2],[11.8],[9.6],[9.0],[9.2]
cases_in_hs,[17.4],[61.2],[40.0],[36.6],[24.6],[26.8],[20.0],[15.2]
cases_in_uv,[27.0],[122.4],[62.8],[32.2],[24.2],[26.0],[22.0],[21.0]
pk_with_a_case,[4.4],[6.0],[4.8],[4.2],[3.2],[3.4],[3.4],[3.8]
es_with_a_case,[10.6],[16.8],[15.4],[12.8],[10.8],[12.2],[8.4],[9.4]
ms_with_a_case,[5.8],[8.2],[8.2],[7.6],[7.2],[6.0],[6.2],[5.6]
hs_with_a_case,[10.0],[15.0],[14.2],[13.8],[11.0],[11.6],[10.4],[8.4]
uv_with_a_case,[22.8],[56.2],[39.0],[26.8],[22.4],[22.4],[20.2],[19.0]
