,no_school,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,72474.44637445748,74787.23144440023,72568.74635283809,72273.43234551708,72490.69022888059,72720.6092671487,72090.82353325619
num_tested,0.0,0.0,0.0,0.0,870.6,1727.6,3390.4
num_traced,0.0,0.0,0.0,0.0,0.0,7.4,54.4
test_pos,0.0,0.0,0.0,0.0,26.0,36.2,54.4
school_days_lost,0.0,0.0,0.0,44984.8,45144.4,45849.0,48506.0
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[21.0],[58.4],[21.2],[16.8],[19.4],[33.8],[16.8]
student_cases,[2.6],[16.2],[4.4],[2.4],[2.8],[5.0],[1.8]
teacher_cases,[0.0],[1.0],[0.4],[0.4],[0.0],[0.2],[0.4]
cases_in_pk,[0.2],[0.8],[0.8],[0.2],[0.0],[0.0],[0.6]
cases_in_es,[1.0],[3.2],[2.2],[0.4],[0.4],[1.2],[0.2]
cases_in_ms,[0.0],[2.2],[0.8],[0.4],[0.4],[1.0],[0.6]
cases_in_hs,[0.4],[4.6],[0.8],[0.8],[1.0],[1.8],[0.4]
cases_in_uv,[1.0],[6.4],[0.2],[1.0],[1.0],[1.2],[0.4]
pk_with_a_case,[0.2],[0.4],[0.6],[0.2],[0.0],[0.0],[0.6]
es_with_a_case,[1.0],[2.6],[1.6],[0.4],[0.4],[1.0],[0.2]
ms_with_a_case,[0.0],[1.4],[0.6],[0.4],[0.4],[0.6],[0.6]
hs_with_a_case,[0.4],[2.6],[0.8],[0.6],[0.6],[1.8],[0.4]
uv_with_a_case,[1.0],[4.2],[0.2],[1.0],[1.0],[1.2],[0.4]
