,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,75260.2705417906,76889.78689819403,75942.68078185697,76350.45067754578,76065.74910679775,75760.27713054496,75727.86781653287,75700.16986525396
num_tested,0.0,0.0,0.0,0.0,0.0,851.6,1713.6,3409.0
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,7.6,69.8
test_pos,0.0,0.0,0.0,0.0,0.0,24.8,36.0,69.8
school_days_lost,0.0,0.0,0.0,0.0,45049.2,44996.4,45502.4,50206.0
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[20.2],[46.8],[27.8],[38.2],[41.2],[32.0],[32.4],[32.8]
student_cases,[3.4],[12.8],[5.6],[6.0],[3.8],[4.6],[1.6],[5.8]
teacher_cases,[0.0],[0.6],[0.8],[0.0],[0.2],[0.6],[0.6],[0.2]
cases_in_pk,[0.4],[1.0],[0.8],[0.4],[0.4],[0.8],[0.2],[0.4]
cases_in_es,[0.0],[1.2],[1.0],[2.4],[0.2],[1.0],[0.2],[2.0]
cases_in_ms,[0.2],[0.4],[0.4],[0.8],[1.0],[0.6],[0.4],[0.4]
cases_in_hs,[1.0],[1.4],[1.4],[1.2],[0.8],[1.4],[1.0],[1.2]
cases_in_uv,[1.8],[9.4],[2.8],[1.2],[1.6],[1.4],[0.4],[2.0]
pk_with_a_case,[0.2],[1.0],[0.8],[0.4],[0.4],[0.8],[0.2],[0.4]
es_with_a_case,[0.0],[1.2],[1.0],[2.2],[0.2],[1.0],[0.2],[1.6]
ms_with_a_case,[0.2],[0.4],[0.4],[0.8],[0.6],[0.6],[0.4],[0.4]
hs_with_a_case,[0.6],[1.2],[1.0],[1.2],[0.8],[1.2],[0.8],[1.0]
uv_with_a_case,[1.8],[3.4],[2.0],[1.2],[1.6],[1.4],[0.4],[2.0]
