,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,277136.2815276798,353288.7788544379,325543.636822774,300938.3716880743,292103.9373574224,293247.276181196,282415.6067693092,275730.7623831172
num_tested,0.0,0.0,0.0,0.0,0.0,2135.8,3844.6,7219.6
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,547.6,3909.2
test_pos,0.0,0.0,0.0,0.0,0.0,1327.0,2189.0,3909.2
school_days_lost,0.0,0.0,0.0,0.0,84957.6,78946.0,117997.0,277616.0
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[1635.0],[2665.6],[2295.8],[1950.0],[1813.4],[1834.8],[1720.0],[1667.8]
student_cases,[193.8],[525.0],[405.0],[272.6],[242.6],[252.8],[222.2],[218.0]
teacher_cases,[10.2],[35.6],[29.2],[23.6],[17.6],[18.2],[19.6],[13.2]
cases_in_pk,[15.6],[36.2],[30.2],[20.0],[18.6],[17.8],[13.0],[14.4]
cases_in_es,[45.0],[87.8],[83.2],[65.6],[53.6],[61.8],[53.0],[50.6]
cases_in_ms,[27.6],[58.0],[44.0],[40.0],[37.0],[33.2],[31.6],[28.6]
cases_in_hs,[46.8],[129.2],[97.2],[88.0],[67.8],[73.2],[67.8],[61.2]
cases_in_uv,[69.0],[249.4],[179.6],[82.6],[83.2],[85.0],[76.4],[76.4]
pk_with_a_case,[6.8],[9.4],[9.6],[7.4],[8.2],[6.8],[5.6],[7.2]
es_with_a_case,[18.8],[22.4],[22.8],[21.8],[18.6],[22.2],[20.0],[20.0]
ms_with_a_case,[10.8],[13.2],[12.6],[12.4],[12.6],[10.8],[11.6],[11.4]
hs_with_a_case,[15.8],[18.0],[17.6],[17.8],[17.2],[16.6],[17.8],[15.6]
uv_with_a_case,[51.0],[95.4],[83.6],[58.6],[56.0],[57.6],[55.2],[55.0]
