,no_school,as_normal,with_NPI,with_cohorting,with_screening_notesting,with_25perctest_notracing,with_50perctest_25tracing,with_100perctest_100tracing
school_closures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cum_infections,86998.96257839943,90488.68364411322,88974.6369070177,87228.90314466742,87119.43864749193,87103.97212510843,87132.30028189508,86567.52800664915
num_tested,0.0,0.0,0.0,0.0,0.0,851.2,1699.6,3370.2
num_traced,0.0,0.0,0.0,0.0,0.0,0.0,7.8,30.4
test_pos,0.0,0.0,0.0,0.0,0.0,11.6,29.4,30.4
school_days_lost,0.0,0.0,0.0,0.0,44993.2,44753.4,45606.4,46785.4
num_students,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4,51787.4
total_cases,[10.8],[62.6],[38.6],[17.4],[16.8],[15.2],[13.6],[8.2]
student_cases,[1.8],[18.2],[8.8],[2.8],[2.8],[3.2],[2.4],[1.0]
teacher_cases,[0.2],[0.2],[0.4],[0.0],[0.2],[0.2],[0.0],[0.0]
cases_in_pk,[0.0],[1.8],[0.6],[0.2],[0.4],[0.4],[0.4],[0.2]
cases_in_es,[0.6],[1.4],[1.8],[0.6],[0.4],[0.6],[0.4],[0.2]
cases_in_ms,[0.2],[1.6],[0.6],[0.2],[1.2],[0.0],[0.4],[0.0]
cases_in_hs,[0.4],[2.4],[2.8],[0.2],[0.6],[1.8],[0.8],[0.6]
cases_in_uv,[0.8],[11.2],[3.4],[1.6],[0.4],[0.6],[0.4],[0.0]
pk_with_a_case,[0.0],[1.4],[0.6],[0.2],[0.4],[0.4],[0.4],[0.2]
es_with_a_case,[0.6],[1.2],[1.6],[0.6],[0.2],[0.6],[0.4],[0.2]
ms_with_a_case,[0.2],[1.6],[0.6],[0.2],[1.0],[0.0],[0.4],[0.0]
hs_with_a_case,[0.4],[1.6],[1.6],[0.2],[0.6],[1.2],[0.8],[0.4]
uv_with_a_case,[0.8],[4.6],[2.8],[1.6],[0.4],[0.6],[0.4],[0.0]
